series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	levelStatus_code	levelStatus_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	1	World	1			Region						DEG_MHIG	Medium-high level of implementation	2018	21.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	1	World	1			Region						DEG_LOW	Low level of implementation	2018	19.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	1	World	1			Region						DEG_MLOW	Medium-low level of implementation	2018	41.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	1	World	1			Region						DEG_VHIG	Very high level of implementation	2018	4.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	1	World	1			Region						DEG_VLOW	Very low level of implementation	2018	1.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	1	World	1			Region						DEG_HIG	High level of implementation	2018	15.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	202	Sub-Saharan Africa	3	2	Africa	Region						DEG_MLOW	Medium-low level of implementation	2018	51.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	202	Sub-Saharan Africa	3	2	Africa	Region						DEG_LOW	Low level of implementation	2018	18.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	202	Sub-Saharan Africa	3	2	Africa	Region						DEG_MHIG	Medium-high level of implementation	2018	29.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	202	Sub-Saharan Africa	3	2	Africa	Region						DEG_VLOW	Very low level of implementation	2018	2.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	419	Latin America and the Caribbean	3	19	Americas	Region						DEG_HIG	High level of implementation	2018	3.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	419	Latin America and the Caribbean	3	19	Americas	Region						DEG_MLOW	Medium-low level of implementation	2018	48.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	419	Latin America and the Caribbean	3	19	Americas	Region						DEG_MHIG	Medium-high level of implementation	2018	3.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	419	Latin America and the Caribbean	3	19	Americas	Region						DEG_LOW	Low level of implementation	2018	45.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	513	Europe and Northern America	2	1	World	Region						DEG_MLOW	Medium-low level of implementation	2018	16.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	513	Europe and Northern America	2	1	World	Region						DEG_VHIG	Very high level of implementation	2018	9.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	513	Europe and Northern America	2	1	World	Region						DEG_HIG	High level of implementation	2018	44.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	513	Europe and Northern America	2	1	World	Region						DEG_LOW	Low level of implementation	2018	5.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	513	Europe and Northern America	2	1	World	Region						DEG_MHIG	Medium-high level of implementation	2018	26.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	53	Australia and New Zealand	3	9	Oceania	Region						DEG_HIG	High level of implementation	2018	50.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	53	Australia and New Zealand	3	9	Oceania	Region						DEG_MHIG	Medium-high level of implementation	2018	50.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	62	Central and Southern Asia	2	1	World	Region						DEG_LOW	Low level of implementation	2018	30.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	62	Central and Southern Asia	2	1	World	Region						DEG_MLOW	Medium-low level of implementation	2018	60.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	62	Central and Southern Asia	2	1	World	Region						DEG_MHIG	Medium-high level of implementation	2018	10.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	747	Northern Africa and Western Asia	2	1	World	Region						DEG_MHIG	Medium-high level of implementation	2018	27.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	747	Northern Africa and Western Asia	2	1	World	Region						DEG_MLOW	Medium-low level of implementation	2018	45.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	747	Northern Africa and Western Asia	2	1	World	Region						DEG_HIG	High level of implementation	2018	18.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	747	Northern Africa and Western Asia	2	1	World	Region						DEG_VHIG	Very high level of implementation	2018	5.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	747	Northern Africa and Western Asia	2	1	World	Region						DEG_LOW	Low level of implementation	2018	5.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	753	Eastern and South-Eastern Asia	2	1	World	Region						DEG_MLOW	Medium-low level of implementation	2018	46.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	753	Eastern and South-Eastern Asia	2	1	World	Region						DEG_HIG	High level of implementation	2018	8.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	753	Eastern and South-Eastern Asia	2	1	World	Region						DEG_LOW	Low level of implementation	2018	15.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	753	Eastern and South-Eastern Asia	2	1	World	Region						DEG_VHIG	Very high level of implementation	2018	15.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	753	Eastern and South-Eastern Asia	2	1	World	Region						DEG_MHIG	Medium-high level of implementation	2018	15.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	9	Oceania	2	1	World	Region						DEG_LOW	Low level of implementation	2018	38.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	9	Oceania	2	1	World	Region						DEG_MLOW	Medium-low level of implementation	2018	50.0					Environment Live		C	Country data	PT	Percentage	G	Global			
ER_H2O_IWRMP	Proportion of countries by IWRM implementation category (%)	9	Oceania	2	1	World	Region						DEG_MHIG	Medium-high level of implementation	2018	13.0					Environment Live		C	Country data	PT	Percentage	G	Global			
