series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type	Quantile
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2005.0	47.56495	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2005.0	24.52726	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2006.0	21.01191	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2006.0	42.27875	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2007.0	31.78217	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2007.0	16.11297	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2008.0	24.77924	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2008.0	12.46534	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2009.0	27.50686	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2009.0	14.15517	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2010.0	5.86095	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2010.0	3.47952	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2011.0	4.05343	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2011.0	2.58855	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2012.0	2.76575	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	616	Poland	2012.0	4.33946	Float					Central Statistical Office of Poland - CSO	['Household Budget Survey']	CA	PERCENT	G	Q1
