series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type	Quantile
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	51	Armenia	2008.0	2.94078	Float					National Statistical Service of the Republic of Armenia	['Integrated Living Conditions Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	51	Armenia	2008.0	2.7243	Float					National Statistical Service of the Republic of Armenia	['Integrated Living Conditions Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	51	Armenia	2009.0	4.14208	Float					National Statistical Service of the Republic of Armenia	['Integrated Living Conditions Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	51	Armenia	2009.0	4.4735	Float					National Statistical Service of the Republic of Armenia	['Integrated Living Conditions Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	51	Armenia	2010.0	6.29827	Float					National Statistical Service of the Republic of Armenia	['Integrated Living Conditions Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	51	Armenia	2010.0	5.49662	Float					National Statistical Service of the Republic of Armenia	['Integrated Living Conditions Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	51	Armenia	2011.0	6.51984	Float					National Statistical Service of the Republic of Armenia	['Integrated Living Conditions Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	51	Armenia	2011.0	4.34558	Float					National Statistical Service of the Republic of Armenia	['Integrated Living Conditions Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	51	Armenia	2012.0	3.32451	Float					National Statistical Service of the Republic of Armenia	['Integrated Living Conditions Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	51	Armenia	2012.0	2.99704	Float					National Statistical Service of the Republic of Armenia	['Integrated Living Conditions Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	51	Armenia	2013.0	3.39142	Float					National Statistical Service of the Republic of Armenia	['Integrated Living Conditions Survey ']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	51	Armenia	2013.0	3.20584	Float					National Statistical Service of the Republic of Armenia	['Integrated Living Conditions Survey ']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	51	Armenia	2014.0	0.8872	Float					National Statistical Service of the Republic of Armenia	['Integrated Living Conditions Survey ']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	51	Armenia	2014.0	0.78219	Float					National Statistical Service of the Republic of Armenia	['Integrated Living Conditions Survey ']	CA	PERCENT	G	Q1
