series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2000.0	0.25454	Float					UNCTADstat	['Excluding Mayotte, Réunion, South Sudan.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2001.0	0.2784	Float					UNCTADstat	['Excluding Mayotte, Réunion, South Sudan.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2002.0	0.26216	Float					UNCTADstat	['Excluding Mayotte, Réunion, South Sudan.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2003.0	0.27621	Float					UNCTADstat	['Excluding Mayotte, Réunion, South Sudan.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2004.0	0.27479	Float					UNCTADstat	['Excluding Mayotte, Réunion, South Sudan.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2005.0	0.29228	Float					UNCTADstat	['Excluding Mayotte, Réunion, South Sudan.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2006.0	0.30427	Float					UNCTADstat	['Excluding Mayotte, Réunion, South Sudan.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2007.0	0.31706	Float					UNCTADstat	['Excluding Mayotte, Réunion, South Sudan.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2008.0	0.35938	Float					UNCTADstat	['Excluding Mayotte, Réunion, South Sudan.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2009.0	0.41329	Float					UNCTADstat	['Excluding Mayotte, Réunion, South Sudan.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2010.0	0.3964	Float					UNCTADstat	['Excluding Mayotte, Réunion, South Sudan.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2011.0	0.40875	Float					UNCTADstat	['Excluding Mayotte, Réunion, South Sudan.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2012.0	0.45855	Float					UNCTADstat	['Excluding Mayotte, Réunion.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2013.0	0.47593	Float					UNCTADstat	['Excluding Mayotte, Réunion.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2014.0	0.49452	Float					UNCTADstat	['Excluding Mayotte, Réunion.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2015.0	0.52265	Float					UNCTADstat	['Excluding Mayotte, Réunion.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2016.0	0.48293	Float					UNCTADstat	['Excluding Mayotte, Réunion.']	CA	PERCENT
TX_IMP_GBMRCH	Developing countries’ and least developed countries’ share of global merchandise imports (%)	14	Eastern Africa	2017.0	0.47347	Float					UNCTADstat	['Excluding Mayotte, Réunion.']	CA	PERCENT
