series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Age	Location	Sex	Reporting Type
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2003.0	10	Float					Calculated by UNSD based on available country data from the Lao Expenditure and consumption survey to apply ICATUS.	['Travel related to unpaid domestic and care work is not included.']	CA	PERCENT	10+	ALLAREA	FEMALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2003.0	2.5	Float					Calculated by UNSD based on available country data from the Lao Expenditure and consumption survey to apply ICATUS.	['Travel related to unpaid domestic and care work is not included.']	CA	PERCENT	10+	ALLAREA	MALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2008.0	10.41667	Float					Calculated by UNSD based on available country data from the Lao Expenditure and consumption survey to apply ICATUS.	['Travel related to unpaid domestic and care work is not included.']	CA	PERCENT	10+	ALLAREA	FEMALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2008.0	1.66667	Float					Calculated by UNSD based on available country data from the Lao Expenditure and consumption survey to apply ICATUS.	['Travel related to unpaid domestic and care work is not included.']	CA	PERCENT	10+	ALLAREA	MALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2013.0	10.41667	Float					Calculated by UNSD based on available country data from the Lao expenditure and consumption survey 2012/13 to apply ICATUS.	['Travel related to unpaid domestic and care work is not included.']	CA	PERCENT	10+	ALLAREA	FEMALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2013.0	2.5	Float					Calculated by UNSD based on available country data from the Lao expenditure and consumption survey 2012/13 to apply ICATUS.	['Travel related to unpaid domestic and care work is not included.']	CA	PERCENT	10+	ALLAREA	MALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2017.0	13.89667	Float					Lao Statistics Bureau based on Labor force survey in Lao PDR- 2017	['Questions OPW12, OPW13 and OPW14 were considered in calculation.']	C	PERCENT	15-24	ALLAREA	FEMALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2017.0	9.17042	Float					Lao Statistics Bureau based on Labor force survey in Lao PDR- 2017	['Questions OPW12, OPW13 and OPW14 were considered in calculation.']	C	PERCENT	15-24	ALLAREA	MALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2017.0	13.60375	Float					Lao Statistics Bureau based on Labor force survey in Lao PDR- 2017	['Questions OPW12, OPW13 and OPW14 were considered in calculation.']	C	PERCENT	15+	ALLAREA	FEMALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2017.0	10.06292	Float					Lao Statistics Bureau based on Labor force survey in Lao PDR- 2017	['Questions OPW12, OPW13 and OPW14 were considered in calculation.']	C	PERCENT	15+	ALLAREA	MALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2017.0	14.3075	Float					Lao Statistics Bureau based on Labor force survey in Lao PDR- 2017	['Questions OPW12, OPW13 and OPW14 were considered in calculation.']	C	PERCENT	25-44	ALLAREA	FEMALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2017.0	10.43417	Float					Lao Statistics Bureau based on Labor force survey in Lao PDR- 2017	['Questions OPW12, OPW13 and OPW14 were considered in calculation.']	C	PERCENT	25-44	ALLAREA	MALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2017.0	12.39083	Float					Lao Statistics Bureau based on Labor force survey in Lao PDR- 2017	['Questions OPW12, OPW13 and OPW14 were considered in calculation.']	C	PERCENT	45-54	ALLAREA	FEMALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2017.0	12.02	Float					Lao Statistics Bureau based on Labor force survey in Lao PDR- 2017	['Questions OPW12, OPW13 and OPW14 were considered in calculation.']	C	PERCENT	55-64	ALLAREA	FEMALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	418	Lao People's Democratic Republic	2017.0	14.08167	Float					Lao Statistics Bureau based on Labor force survey in Lao PDR- 2017	['Questions OPW12, OPW13 and OPW14 were considered in calculation.']	C	PERCENT	25-44	URBAN	FEMALE	G
