series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type	IHR Capacity
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	20	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['']	NA	PERCENT	G	SPAR07
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	50	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['']	NA	PERCENT	G	SPAR06
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	47	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['']	NA	PERCENT	G	SPAR05
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	60	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['']	NA	PERCENT	G	SPAR04
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	100	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['']	NA	PERCENT	G	"SPAR03
"
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	20	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['']	NA	PERCENT	G	"SPAR02
"
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	27	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['']	NA	PERCENT	G	SPAR01
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	20	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['']	NA	PERCENT	G	SPAR11
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	40	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['']	NA	PERCENT	G	SPAR13
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	40	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['']	NA	PERCENT	G	SPAR12
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	40	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['']	NA	PERCENT	G	SPAR10
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	33	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['']	NA	PERCENT	G	SPAR09
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	40	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['']	NA	PERCENT	G	SPAR08
