series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Type of occupation	Reporting Type
SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	729	Sudan	2004.0	10.434	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PER_10000_POP	NURS	G
SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	729	Sudan	2004.0	2.502	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PER_10000_POP	PHYS	G
SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	729	Sudan	2004.0	0.232	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PER_10000_POP	DENT	G
SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	729	Sudan	2004.0	0.443	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PER_10000_POP	PHAR	G
SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	729	Sudan	2006.0	0.299	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PER_10000_POP	DENT	G
SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	729	Sudan	2006.0	3.506	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PER_10000_POP	PHYS	G
SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	729	Sudan	2006.0	10.553	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PER_10000_POP	NURS	G
SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	729	Sudan	2006.0	0.484	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PER_10000_POP	PHAR	G
SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	729	Sudan	2007.0	0.117	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PER_10000_POP	PHAR	G
SH_MED_HEAWOR	Health worker density, by type of occupation (per 10,000 population)	729	Sudan	2007.0	3.512	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PER_10000_POP	PHYS	G
