goal	target	indicator_code	indicator_ref	series	hub_id	n_countries	seriesDescription	min_year	max_year	min_n_years	max_n_years	n_disaggregations	sex_code	sex_desc	age_code	age_desc	location_code	location_desc	educationLevel_code	educationLevel_desc	typeOfProduct_code	typeOfProduct_desc	typeOfSkill_code	typeOfSkill_desc	quantile_code	quantile_desc	modeOfTransportation_code	modeOfTransportation_desc	nameOfInternationalInstitution_code	nameOfInternationalInstitution_desc	causeOfDeath_code	causeOfDeath_desc	disabilityStatus_code	disabilityStatus_desc	typeOfOccupation_code	typeOfOccupation_desc	groundsOfDiscrimination_code	groundsOfDiscrimination_desc	levelStatus_code	levelStatus_desc	migratoryStatus_code	migratoryStatus_desc	parliamentaryCommittees_code	parliamentaryCommittees_desc	policyDomains_code	policyDomains_desc	typeOfSpeed_code	typeOfSpeed_desc	activity_code	activity_desc	cities_code	cities_desc	ihrCapacity_code	ihrCapacity_desc	nameOfNonCommunicableDisease_code	nameOfNonCommunicableDisease_desc	policyInstruments_code	policyInstruments_desc	samplingStations_code	samplingStations_desc	substanceUseDisorders_code	substanceUseDisorders_desc	typeOfWasteTreatment_code	typeOfWasteTreatment_desc
1	'1.1	C010101	1.1.1	SI_POV_DAY1	e75f1d96fb724377b50831a66b9ba925	164	Proportion of population below international poverty line (%)	1990	2018	1	29	0.0																																																				
1	'1.1	C010101	1.1.1	SI_POV_EMP1	d345483ef17b4e488e80d0aae4b5fc02	110	Employed population below international poverty line, by sex and age (%)	2000	2017	1	18	2.0	F	Female	Y15T24	15 to 24 years old																																																
1	'1.1	C010101	1.1.1	SI_POV_EMP1	d345483ef17b4e488e80d0aae4b5fc02	110	Employed population below international poverty line, by sex and age (%)	2000	2017	1	18	2.0	M	Male	Y_GE25	25 years old and over																																																
1	'1.1	C010101	1.1.1	SI_POV_EMP1	d345483ef17b4e488e80d0aae4b5fc02	110	Employed population below international poverty line, by sex and age (%)	2000	2017	1	18	2.0	_T	Both sexes	Y15T24	15 to 24 years old																																																
1	'1.1	C010101	1.1.1	SI_POV_EMP1	d345483ef17b4e488e80d0aae4b5fc02	110	Employed population below international poverty line, by sex and age (%)	2000	2017	1	18	2.0	_T	Both sexes	Y_GE15	15 years old and over																																																
1	'1.1	C010101	1.1.1	SI_POV_EMP1	d345483ef17b4e488e80d0aae4b5fc02	110	Employed population below international poverty line, by sex and age (%)	2000	2017	1	18	2.0	_T	Both sexes	Y_GE25	25 years old and over																																																
1	'1.1	C010101	1.1.1	SI_POV_EMP1	d345483ef17b4e488e80d0aae4b5fc02	110	Employed population below international poverty line, by sex and age (%)	2000	2017	1	18	2.0	M	Male	Y_GE15	15 years old and over																																																
1	'1.1	C010101	1.1.1	SI_POV_EMP1	d345483ef17b4e488e80d0aae4b5fc02	110	Employed population below international poverty line, by sex and age (%)	2000	2017	1	18	2.0	M	Male	Y15T24	15 to 24 years old																																																
1	'1.1	C010101	1.1.1	SI_POV_EMP1	d345483ef17b4e488e80d0aae4b5fc02	110	Employed population below international poverty line, by sex and age (%)	2000	2017	1	18	2.0	F	Female	Y_GE25	25 years old and over																																																
1	'1.1	C010101	1.1.1	SI_POV_EMP1	d345483ef17b4e488e80d0aae4b5fc02	110	Employed population below international poverty line, by sex and age (%)	2000	2017	1	18	2.0	F	Female	Y_GE15	15 years old and over																																																
1	'1.2	C010201	1.2.1	SI_POV_NAHC	4b61f174c1fc4425b900c1454a55d692	136	Proportion of population living below the national poverty line (%)	1990	2018	1	22	1.0					_T	All areas																																														
1	'1.2	C010201	1.2.1	SI_POV_NAHC	4b61f174c1fc4425b900c1454a55d692	85	Proportion of population living below the national poverty line (%)	1991	2015	1	15	1.0					U	Urban																																														
1	'1.2	C010201	1.2.1	SI_POV_NAHC	4b61f174c1fc4425b900c1454a55d692	83	Proportion of population living below the national poverty line (%)	1991	2015	1	15	1.0					R	Rural																																														
1	'1.2	C010202	1.2.2	SD_MDP_MUHC	7e572c4fcab94354b816432828db7e52	29	Proportion of population living in multidimensional poverty (%)	2010	2019	1	10	3.0	M	Male	_T	All age ranges or no breaks by age	_T	All areas																																														
1	'1.2	C010202	1.2.2	SD_MDP_MUHC	7e572c4fcab94354b816432828db7e52	28	Proportion of population living in multidimensional poverty (%)	2010	2019	1	10	3.0	_T	Both sexes	Y0T17	under 18 years old	_T	All areas																																														
1	'1.2	C010202	1.2.2	SD_MDP_MUHC	7e572c4fcab94354b816432828db7e52	29	Proportion of population living in multidimensional poverty (%)	2010	2019	1	10	3.0	F	Female	_T	All age ranges or no breaks by age	_T	All areas																																														
1	'1.2	C010202	1.2.2	SD_MDP_MUHC	7e572c4fcab94354b816432828db7e52	41	Proportion of population living in multidimensional poverty (%)	2010	2019	1	10	3.0	_T	Both sexes	_T	All age ranges or no breaks by age	_T	All areas																																														
1	'1.2	C010202	1.2.2	SD_MDP_MUHC	7e572c4fcab94354b816432828db7e52	1	Proportion of population living in multidimensional poverty (%)	2014	2017	3	3	3.0	_T	Both sexes	Y0T15	under 16 years old	_T	All areas																																														
1	'1.2	C010202	1.2.2	SD_MDP_MUHC	7e572c4fcab94354b816432828db7e52	1	Proportion of population living in multidimensional poverty (%)	2018	2018	1	1	3.0	_T	Both sexes	Y0T14	under 15 years old	_T	All areas																																														
1	'1.2	C010202	1.2.2	SD_MDP_MUHC	7e572c4fcab94354b816432828db7e52	1	Proportion of population living in multidimensional poverty (%)	2017	2017	1	1	3.0	_T	Both sexes	Y0T9	under 10 years old	_T	All areas																																														
1	'1.2	C010202	1.2.2	SD_MDP_ANDI	45f9d62e4d4c468eb9a0f6f0586244ca	21	Average proportion of deprivations for people multidimensionally poor (%)	2010	2019	1	10	3.0	_T	Both sexes	_T	All age ranges or no breaks by age	_T	All areas																																														
1	'1.2	C010202	1.2.2	SD_MDP_MUHHC	e5e2e68ddb674a009355549d38b397bd	11	Proportion of households living in multidimensional poverty (%)	2010	2019	1	10	1.0					_T	All areas																																														
