n_countries	series	seriesDescription	min_year	max_year	min_n_years	max_n_years	n_disaggregations	sex_desc	sex_code	age_desc	age_code	location_desc	location_code	observationStatus_desc	observationStatus_code	educationLevel_desc	educationLevel_code	typeOfProduct_desc	typeOfProduct_code	typeOfSkill_desc	typeOfSkill_code	quantile_desc	quantile_code	modeOfTransportation_desc	modeOfTransportation_code	typeOfOccupation_desc	typeOfOccupation_code	causeOfDeath_desc	causeOfDeath_code	typeOfSpeed_desc	typeOfSpeed_code	policyDomains_desc	policyDomains_code	parliamentaryCommittees_desc	parliamentaryCommittees_code	nameOfInternationalInstitution_desc	nameOfInternationalInstitution_code	migratoryStatus_desc	migratoryStatus_code	levelStatus_desc	levelStatus_code	disabilityStatus_desc	disabilityStatus_code	typeOfWasteTreatment_desc	typeOfWasteTreatment_code	substanceUseDisorders_desc	substanceUseDisorders_code	samplingStations_desc	samplingStations_code	policyInstruments_desc	policyInstruments_code	nameOfNonCommunicableDisease_desc	nameOfNonCommunicableDisease_code	ihrCapacity_desc	ihrCapacity_code	groundsOfDiscrimination_desc	groundsOfDiscrimination_code	cities_desc	cities_code	activity_desc	activity_code
160	AG_FPA_CFPI	Consumer Food Price Index	2016	2017	1	2	0.0																																																						
64	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	2016	2017	1	2	1.0											Rice	CPC2_1_113																																										
51	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	2016	2017	1	2	1.0											Maize	CPC2_1_112																																										
45	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	2016	2017	1	2	1.0											Wheat	CPC2_1_111																																										
10	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	2016	2017	2	2	1.0											Millet	CPC2_1_118																																										
16	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	2016	2017	2	2	1.0											Sorghum	CPC2_1_114																																										
124	AG_LND_DGRD	Proportion of land that is degraded over total land area (%)	2015	2015	1	1	0.0																																																						
205	AG_LND_FRSTBIOPHA	Above-ground biomass stock in forest (tonnes per hectare)	2000	2020	8	8	0.0																																																						
245	AG_LND_FRSTCERT	Forest area under an independently verified forest management certification scheme (thousands of hectares)	2000	2019	7	8	0.0																																																						
227	AG_LND_FRSTCHG	Forest area annual net change rate (%)	2010	2020	3	3	0.0																																																						
137	AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	2000	2020	1	8	0.0																																																						
235	AG_LND_FRSTN	Forest area (thousands of hectares)	2000	2020	8	8	0.0																																																						
169	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2000	2020	1	8	0.0																																																						
235	AG_LND_FRST	Forest area as a proportion of total land area (%)	2000	2020	8	8	0.0																																																						
245	AG_LND_TOTL	Land area (thousands of hectares)	2015	2015	1	1	0.0																																																						
147	AG_PRD_AGVAS	Agriculture value added share of GDP (%)	2001	2018	1	18	1.0							Normal value	A																																														
109	AG_PRD_FIESMSIN	Total population in moderate or severe food insecurity (thousands of people)	2015	2018	1	4	3.0	Both sexes	_T	All age ranges or no breaks by age	_T			Normal value	A																																														
103	AG_PRD_FIESMSIN	Total population in moderate or severe food insecurity (thousands of people)	2015	2018	1	4	3.0	Male	M	15 years old and over	Y_GE15			Normal value	A																																														
103	AG_PRD_FIESMSIN	Total population in moderate or severe food insecurity (thousands of people)	2015	2018	1	4	3.0	Female	F	15 years old and over	Y_GE15			Normal value	A																																														
109	AG_PRD_FIESMSI	Prevalence of moderate or severe food insecurity in the adult population (%)	2015	2018	1	4	3.0	Both sexes	_T	All age ranges or no breaks by age	_T			Normal value	A																																														
103	AG_PRD_FIESMSI	Prevalence of moderate or severe food insecurity in the adult population (%)	2015	2018	4	4	3.0	Male	M	15 years old and over	Y_GE15			Normal value	A																																														
103	AG_PRD_FIESMSI	Prevalence of moderate or severe food insecurity in the adult population (%)	2015	2018	4	4	3.0	Female	F	15 years old and over	Y_GE15			Normal value	A																																														
109	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	2015	2018	1	4	3.0	Both sexes	_T	All age ranges or no breaks by age	_T			Normal value	A																																														
103	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	2015	2018	1	4	3.0	Female	F	15 years old and over	Y_GE15			Normal value	A																																														
