series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	location_code	location_desc	years	min_year	max_year	n_years
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			_T	All areas	[2000, 2001, 2002, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	15
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			_T	All areas	[2005, 2010, 2015]	2005	2015	3
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			_T	All areas	[2006, 2013, 2014]	2006	2014	3
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			U	Urban	[2014]	2014	2014	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			R	Rural	[2014]	2014	2014	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			U	Urban	[2000, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2000	2015	12
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			_T	All areas	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			R	Rural	[2000, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2000	2015	12
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			_T	All areas	[2003, 2006, 2008, 2009, 2010, 2011, 2012]	2003	2012	7
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			U	Urban	[2003, 2006, 2008, 2009, 2010, 2011, 2012]	2003	2012	7
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			R	Rural	[2003, 2006, 2008, 2009, 2010, 2011, 2012]	2003	2012	7
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			U	Urban	[2011]	2011	2011	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			_T	All areas	[2011]	2011	2011	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			R	Rural	[2011]	2011	2011	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			_T	All areas	[1996, 2001, 2007, 2014]	1996	2014	4
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			R	Rural	[1996, 2001, 2007, 2014]	1996	2014	4
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			U	Urban	[1996, 2001, 2007, 2014]	1996	2014	4
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			_T	All areas	[2001, 2007, 2015]	2001	2015	3
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			R	Rural	[2007]	2007	2007	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			U	Urban	[2007]	2007	2007	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			_T	All areas	[2008]	2008	2008	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			U	Urban	[2008]	2008	2008	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			R	Rural	[2008]	2008	2008	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			R	Rural	[2002, 2006, 2009, 2012]	2002	2012	4
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			_T	All areas	[2002, 2006, 2009, 2012, 2016]	2002	2016	5
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			U	Urban	[2002, 2006, 2009, 2012]	2002	2012	4
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			U	Urban	[2002, 2011]	2002	2011	2
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			R	Rural	[2002, 2011]	2002	2011	2
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			_T	All areas	[2002, 2011]	2002	2011	2
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			_T	All areas	[2000, 2003, 2006, 2009, 2011, 2013, 2015, 2017]	2000	2017	8
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			_T	All areas	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			R	Rural	[2013, 2014]	2013	2014	2
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			R	Rural	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2008	2015	8
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			U	Urban	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2008	2015	8
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			_T	All areas	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2008	2018	11
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1			_T	All areas	[2013]	2013	2013	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1			_T	All areas	[2004, 2011]	2004	2011	2
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1			R	Rural	[2004, 2011]	2004	2011	2
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1			U	Urban	[2004]	2004	2004	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1			_T	All areas	[2004, 2012]	2004	2012	2
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1			_T	All areas	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1			R	Rural	[2010, 2011, 2012, 2013, 2014, 2015]	2010	2015	6
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1			U	Urban	[2010, 2011, 2012, 2013, 2014, 2015]	2010	2015	6
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			_T	All areas	[2009, 2010, 2011, 2012, 2013, 2014, 2015]	2009	2015	7
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			_T	All areas	[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	2004	2013	10
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1			R	Rural	[2006, 2007, 2009, 2011]	2006	2011	4
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1			_T	All areas	[2006, 2007, 2010, 2011, 2015]	2006	2015	5
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1			U	Urban	[2006, 2007, 2009, 2011]	2006	2011	4
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1			U	Urban	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	2000	2013	14
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1			_T	All areas	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1			R	Rural	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	2000	2013	14
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1			R	Rural	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]	2007	2014	8
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1			_T	All areas	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2007	2018	12
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1			U	Urban	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]	2007	2014	8
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1			R	Rural	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]	2005	2014	10
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1			U	Urban	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]	2005	2014	10
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1			_T	All areas	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2007	2017	11
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	226	Equatorial Guinea	5	17	Middle Africa	Country	10.46535826	1.565792376	GNQ	1	1			_T	All areas	[2006]	2006	2006	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	226	Equatorial Guinea	5	17	Middle Africa	Country	10.46535826	1.565792376	GNQ	1	1			U	Urban	[2006]	2006	2006	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	226	Equatorial Guinea	5	17	Middle Africa	Country	10.46535826	1.565792376	GNQ	1	1			R	Rural	[2006]	2006	2006	1
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1			_T	All areas	[1995, 1999, 2004, 2010, 2015]	1995	2015	5
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1			R	Rural	[1995, 1999, 2004, 2010]	1995	2010	4
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1			U	Urban	[1995, 1999, 2004, 2010]	1995	2010	4
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	232	Eritrea	5	14	Eastern Africa	Country	38.11074289	16.12894644	ERI	1	1			_T	All areas	[1993]	1993	1993	1
