series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	policyDomains_code	policyDomains_desc	years	min_year	max_year	n_years
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	1	World	1			Region								PD_6	Domain 6. Safe, orderly and regular migration	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	1	World	1			Region								PD_5	Domain 5. Mobility dimensions of crises	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	1	World	1			Region								PD_1	Domain 1. Migrant rights	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	1	World	1			Region								PD_4	Domain 4. Socioeconomic well-being	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	1	World	1			Region								PD_2	Domain 2. Whole-of-government/ Evidence-based policies	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	1	World	1			Region								PD_3	Domain 3. Cooperation and partnerships	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	1	World	1			Region								_T	All Domains	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								PD_1	Domain 1. Migrant rights	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								PD_5	Domain 5. Mobility dimensions of crises	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								PD_4	Domain 4. Socioeconomic well-being	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								_T	All Domains	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								PD_2	Domain 2. Whole-of-government/ Evidence-based policies	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								PD_3	Domain 3. Cooperation and partnerships	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								PD_6	Domain 6. Safe, orderly and regular migration	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	13	Central America	4	419	Latin America and the Caribbean	Region								PD_5	Domain 5. Mobility dimensions of crises	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	13	Central America	4	419	Latin America and the Caribbean	Region								PD_6	Domain 6. Safe, orderly and regular migration	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	13	Central America	4	419	Latin America and the Caribbean	Region								PD_4	Domain 4. Socioeconomic well-being	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	13	Central America	4	419	Latin America and the Caribbean	Region								PD_1	Domain 1. Migrant rights	[2019]	2019	2019	1
SG_CPA_MIGRP	Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%)	13	Central America	4	419	Latin America and the Caribbean	Region								_T	All Domains	[2019]	2019	2019	1
