series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	location_code	location_desc	years	min_year	max_year	n_years
SD_MDP_MUHHC	Proportion of households living in multidimensional poverty (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			_T	All areas	[2011, 2013, 2015, 2017]	2011	2017	4
SD_MDP_MUHHC	Proportion of households living in multidimensional poverty (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1			_T	All areas	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2010	2019	10
SD_MDP_MUHHC	Proportion of households living in multidimensional poverty (%)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1			_T	All areas	[2010, 2011, 2012, 2013, 2014, 2015, 2016]	2010	2016	7
SD_MDP_MUHHC	Proportion of households living in multidimensional poverty (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1			_T	All areas	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2010	2019	10
SD_MDP_MUHHC	Proportion of households living in multidimensional poverty (%)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1			_T	All areas	[2014, 2016, 2017]	2014	2017	3
SD_MDP_MUHHC	Proportion of households living in multidimensional poverty (%)	288	Ghana	5	11	Western Africa	Country	-1.205623522	7.964825185	GHA	1	1			_T	All areas	[2010]	2010	2010	1
SD_MDP_MUHHC	Proportion of households living in multidimensional poverty (%)	324	Guinea	5	11	Western Africa	Country	-11.28173419	11.00210343	GIN	1	1			_T	All areas	[2014]	2014	2014	1
SD_MDP_MUHHC	Proportion of households living in multidimensional poverty (%)	466	Mali	5	11	Western Africa	Country	-3.522016039	17.35311254	MLI	1	1			_T	All areas	[2016]	2016	2016	1
SD_MDP_MUHHC	Proportion of households living in multidimensional poverty (%)	504	Morocco	4	15	Northern Africa	Country	-6.281942841	31.8440131	MAR	1	1			_T	All areas	[2011, 2014]	2011	2014	2
SD_MDP_MUHHC	Proportion of households living in multidimensional poverty (%)	51	Armenia	4	145	Western Asia	Country	44.93839317	40.29499741	ARM	1	1			_T	All areas	[2018]	2018	2018	1
SD_MDP_MUHHC	Proportion of households living in multidimensional poverty (%)	608	Philippines	4	35	South-Eastern Asia	Country	120.8601418	14.16591706	PHL	1	1			_T	All areas	[2016, 2017]	2016	2017	2
