geoAreaCode	geoAreaName
910	High income economies (WB)
911	Low income economies (WB)
912	Lower middle economies (WB)
913	Low and middle income economies (WB)
914	Upper middle economies (WB)
135	Caucasus and Central Asia
127	Southern Asia (excluding India)
199	Least Developed Countries (LDC)
485	Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)
514	Developed Regions
515	Developing Regions
518	Eastern Asia (excluding Japan)
738	Sub-Saharan Africa (inc. Sudan)
746	Northern Africa (exc. Sudan)
722	Small island developing States (SIDS)
432	Landlocked developing countries (LLDCs)
921	ODA residual
