series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	educationLevel_code	educationLevel_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	75.9023375817964						UIS			E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2011				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	86.9240083938284						UIS			E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2011				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	65.3439270920046						UIS			E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2011				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	86.6926113881288						UIS			E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2012				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	65.1940210350237						UIS			E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2012				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	75.6789950449964						UIS			E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2012				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	76.126568799207						UIS			E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2013				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	65.8899222425087						UIS			E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2013				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	87.1186084903011						UIS			E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2013				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	87.5207858986584						UIS			E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2014				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	66.597110582897						UIS			E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2014				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	76.6007890596634						UIS			E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2014				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	77.1192555363581						UIS			E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2015				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	67.3040318487142						UIS			E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2015				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	87.9250473839088						UIS			E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2015				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	88.521122554118						UIS			E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2016				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	68.0453250857518						UIS			E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2016				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	77.7710465603955						UIS			E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2016				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	78.4176547922413						UIS			E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2017				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	88.9749412212126						UIS			E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2017				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	68.4717400398365						UIS			E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2017				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	68.5956323898173						UIS			E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2018				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	89.041765473944						UIS			E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2018				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	1	World	78.3790409178642						UIS			E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2018				1			Region					
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	104	Myanmar	59.90248						UIS			C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2016				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	104	Myanmar	65.68541						UIS			C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2016				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	104	Myanmar	68.66116						UIS			C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2017				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	104	Myanmar	27.38976						UIS			C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2017				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	104	Myanmar	74.17749						UIS			C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2018				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	104	Myanmar	75.59436						UIS			C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2018				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	108	Burundi	7.71757						UIS			C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2016				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	108	Burundi	100.0						UIS			C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2016				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	108	Burundi	41.50653						UIS			C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2016				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	108	Burundi	41.89294						UIS			C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2017				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	108	Burundi	100.0						UIS			C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2017				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	108	Burundi	8.52529						UIS			C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2017				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	108	Burundi	8.43912						UIS			C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2018				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_ELEC	Schools with access toÂ electricity, by education level (%)	108	Burundi	100.0						UIS			C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2018				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
