series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	age_code	age_desc	sex_code	sex_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SH_SUD_ALCOL	Alcohol use disorders, 12-month prevalence (%)	100	Bulgaria	12.2						WHO			_X	Data nature not available	PT	Percentage	Y_GE15	15 years old and over	M	Male	G	Global	2016				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SH_SUD_ALCOL	Alcohol use disorders, 12-month prevalence (%)	100	Bulgaria	1.9						WHO			_X	Data nature not available	PT	Percentage	Y_GE15	15 years old and over	F	Female	G	Global	2016				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SH_SUD_ALCOL	Alcohol use disorders, 12-month prevalence (%)	100	Bulgaria	6.9						WHO			_X	Data nature not available	PT	Percentage	Y_GE15	15 years old and over	_T	Both sexes	G	Global	2016				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SH_SUD_ALCOL	Alcohol use disorders, 12-month prevalence (%)	104	Myanmar	0.6						WHO			_X	Data nature not available	PT	Percentage	Y_GE15	15 years old and over	F	Female	G	Global	2016				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SH_SUD_ALCOL	Alcohol use disorders, 12-month prevalence (%)	104	Myanmar	1.9						WHO			_X	Data nature not available	PT	Percentage	Y_GE15	15 years old and over	_T	Both sexes	G	Global	2016				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SH_SUD_ALCOL	Alcohol use disorders, 12-month prevalence (%)	104	Myanmar	3.2						WHO			_X	Data nature not available	PT	Percentage	Y_GE15	15 years old and over	M	Male	G	Global	2016				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SH_SUD_ALCOL	Alcohol use disorders, 12-month prevalence (%)	108	Burundi	6.8						WHO			_X	Data nature not available	PT	Percentage	Y_GE15	15 years old and over	_T	Both sexes	G	Global	2016				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SH_SUD_ALCOL	Alcohol use disorders, 12-month prevalence (%)	108	Burundi	2.3						WHO			_X	Data nature not available	PT	Percentage	Y_GE15	15 years old and over	F	Female	G	Global	2016				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SH_SUD_ALCOL	Alcohol use disorders, 12-month prevalence (%)	108	Burundi	11.6						WHO			_X	Data nature not available	PT	Percentage	Y_GE15	15 years old and over	M	Male	G	Global	2016				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SH_SUD_ALCOL	Alcohol use disorders, 12-month prevalence (%)	112	Belarus	6.2						WHO			_X	Data nature not available	PT	Percentage	Y_GE15	15 years old and over	F	Female	G	Global	2016				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
