series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	age_code	age_desc	sex_code	sex_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	1	World	56.4						United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition.			E	Estimated data	PER_1000_POP	Per 1,000 population	Y15T19	15 to 19 years old	F	Female	2000				1			Region					
SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	1	World	51.1						United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition.			E	Estimated data	PER_1000_POP	Per 1,000 population	Y15T19	15 to 19 years old	F	Female	2005				1			Region					
SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	1	World	47.9						United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition.			E	Estimated data	PER_1000_POP	Per 1,000 population	Y15T19	15 to 19 years old	F	Female	2010				1			Region					
SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	1	World	44.6						United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition.			E	Estimated data	PER_1000_POP	Per 1,000 population	Y15T19	15 to 19 years old	F	Female	2015				1			Region					
SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	1	World	41.2						United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition.			E	Estimated data	PER_1000_POP	Per 1,000 population	Y15T19	15 to 19 years old	F	Female	2020				1			Region					
SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	100	Bulgaria	45.6						Registration National Statistics (Eurostat)			C	Country data	PER_1000_POP	Per 1,000 population	Y15T19	15 to 19 years old	F	Female	2000				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	100	Bulgaria	42.8						Registration National Statistics (Eurostat)			C	Country data	PER_1000_POP	Per 1,000 population	Y15T19	15 to 19 years old	F	Female	2001				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	100	Bulgaria	40.9						Registration National Statistics (Eurostat)			C	Country data	PER_1000_POP	Per 1,000 population	Y15T19	15 to 19 years old	F	Female	2002				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	100	Bulgaria	39.8						Registration National Statistics (Eurostat)			C	Country data	PER_1000_POP	Per 1,000 population	Y15T19	15 to 19 years old	F	Female	2003				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	100	Bulgaria	41.1						Registration National Statistics (Eurostat)			C	Country data	PER_1000_POP	Per 1,000 population	Y15T19	15 to 19 years old	F	Female	2004				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
