series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	location_code	location_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	86.17919						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	U	Urban	G	Global	2000				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	61.25434						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	_T	All areas	G	Global	2000				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	39.4361						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	R	Rural	G	Global	2000				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	39.92612						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	R	Rural	G	Global	2001				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	61.70454						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	_T	All areas	G	Global	2001				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	86.13555						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	U	Urban	G	Global	2001				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	41.45364						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	R	Rural	G	Global	2002				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	62.83692						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	_T	All areas	G	Global	2002				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	86.34688						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	U	Urban	G	Global	2002				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	42.55228						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	R	Rural	G	Global	2003				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	63.60941						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	_T	All areas	G	Global	2003				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	86.29749						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	U	Urban	G	Global	2003				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	42.79121						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	R	Rural	G	Global	2004				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	63.93015						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	_T	All areas	G	Global	2004				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	86.24792						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	U	Urban	G	Global	2004				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	43.03233						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	R	Rural	G	Global	2005				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	64.24246						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	_T	All areas	G	Global	2005				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	86.18039						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	U	Urban	G	Global	2005				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	43.29615						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	R	Rural	G	Global	2006				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	86.12835						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	U	Urban	G	Global	2006				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	64.56688						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	_T	All areas	G	Global	2006				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	86.07311						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	U	Urban	G	Global	2007				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	64.88221						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	_T	All areas	G	Global	2007				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	43.55946						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	R	Rural	G	Global	2007				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	65.19863						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	_T	All areas	G	Global	2008				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	86.01056						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	U	Urban	G	Global	2008				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	43.8296						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	R	Rural	G	Global	2008				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	44.8021						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	R	Rural	G	Global	2009				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	65.85203						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	_T	All areas	G	Global	2009				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	85.94473						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	U	Urban	G	Global	2009				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	45.78517						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	R	Rural	G	Global	2010				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	66.49626						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	_T	All areas	G	Global	2010				1			Region					
SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	85.87328						WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)			E	Estimated data	PT	Percentage	U	Urban	G	Global	2010				1			Region					
