series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	observationStatus_code	observationStatus_desc	age_code	age_desc	sex_code	sex_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	1	World	8.80455			8.81024	8.79886		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		The observation value represents the annual value.	E	Estimated data	PT	Percentage	A	Normal value	Y_GE15	15 years old and over	F	Female	G	Global	2014				1			Region					
AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	1	World	7.74895			7.7545	7.74339		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		The observation value represents the annual value.	E	Estimated data	PT	Percentage	A	Normal value	Y_GE15	15 years old and over	M	Male	G	Global	2014				1			Region					
AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	1	World	8.25135			8.2564	8.2463		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		The observation value represents the annual value.	E	Estimated data	PT	Percentage	A	Normal value	_T	All age ranges or no breaks by age	_T	Both sexes	G	Global	2014				1			Region					
AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	1	World	7.59759			7.6025	7.59268		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		The observation value represents the annual value.	E	Estimated data	PT	Percentage	A	Normal value	Y_GE15	15 years old and over	M	Male	G	Global	2015				1			Region					
AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	1	World	7.94025			7.94437	7.93613		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		The observation value represents the annual value.	E	Estimated data	PT	Percentage	A	Normal value	_T	All age ranges or no breaks by age	_T	Both sexes	G	Global	2015				1			Region					
AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	1	World	8.57281			8.57778	8.56784		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		The observation value represents the annual value.	E	Estimated data	PT	Percentage	A	Normal value	Y_GE15	15 years old and over	F	Female	G	Global	2015				1			Region					
AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	1	World	9.11792			9.12184	9.114		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		The observation value represents the annual value.	E	Estimated data	PT	Percentage	A	Normal value	Y_GE15	15 years old and over	F	Female	G	Global	2016				1			Region					
AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	1	World	8.11205			8.11581	8.1083		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		The observation value represents the annual value.	E	Estimated data	PT	Percentage	A	Normal value	_T	All age ranges or no breaks by age	_T	Both sexes	G	Global	2016				1			Region					
AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	1	World	8.60101			8.60658	8.59544		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		The observation value represents the annual value.	E	Estimated data	PT	Percentage	A	Normal value	Y_GE15	15 years old and over	M	Male	G	Global	2016				1			Region					
AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	1	World	9.36362			9.36802	9.35921		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		The observation value represents the annual value.	E	Estimated data	PT	Percentage	A	Normal value	Y_GE15	15 years old and over	M	Male	G	Global	2017				1			Region					
