series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	quantile_code	quantile_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SI_POV_50MI	Proportion of people living below 50 percent of median income (%)	100	Bulgaria	4.0						World Bank		Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)	G	Global monitoring data	PT	Percentage	G	Global	B50	Bottom 50%	1989				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SI_POV_50MI	Proportion of people living below 50 percent of median income (%)	100	Bulgaria	10.0						World Bank		Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)	G	Global monitoring data	PT	Percentage	G	Global	B50	Bottom 50%	1992				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SI_POV_50MI	Proportion of people living below 50 percent of median income (%)	100	Bulgaria	5.0						World Bank		Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)	G	Global monitoring data	PT	Percentage	G	Global	B50	Bottom 50%	1994				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SI_POV_50MI	Proportion of people living below 50 percent of median income (%)	100	Bulgaria	10.0						World Bank		Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)	G	Global monitoring data	PT	Percentage	G	Global	B50	Bottom 50%	1995				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SI_POV_50MI	Proportion of people living below 50 percent of median income (%)	100	Bulgaria	4.0						World Bank		Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)	G	Global monitoring data	PT	Percentage	G	Global	B50	Bottom 50%	1997				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SI_POV_50MI	Proportion of people living below 50 percent of median income (%)	100	Bulgaria	14.0						World Bank		Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)	G	Global monitoring data	PT	Percentage	G	Global	B50	Bottom 50%	2001				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SI_POV_50MI	Proportion of people living below 50 percent of median income (%)	100	Bulgaria	8.0						World Bank		Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)	G	Global monitoring data	PT	Percentage	G	Global	B50	Bottom 50%	2003				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SI_POV_50MI	Proportion of people living below 50 percent of median income (%)	100	Bulgaria	16.0						World Bank		Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)	G	Global monitoring data	PT	Percentage	G	Global	B50	Bottom 50%	2006				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SI_POV_50MI	Proportion of people living below 50 percent of median income (%)	100	Bulgaria	9.0						World Bank		Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)	G	Global monitoring data	PT	Percentage	G	Global	B50	Bottom 50%	2007				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SI_POV_50MI	Proportion of people living below 50 percent of median income (%)	100	Bulgaria	13.0						World Bank		Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)	G	Global monitoring data	PT	Percentage	G	Global	B50	Bottom 50%	2008				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
