series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	1	World	57.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				1			Region					
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	100	Bulgaria	1.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	108	Burundi	1.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	11	Western Africa	9.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				4	202	Sub-Saharan Africa	Region					
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	116	Cambodia	1.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	12	Algeria	1.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	120	Cameroon	1.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	13	Central America	3.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				4	419	Latin America and the Caribbean	Region					
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	132	Cabo Verde	1.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	14	Eastern Africa	7.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				4	202	Sub-Saharan Africa	Region					
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	140	Central African Republic	1.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	142	Asia	13.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				2	1	World	Region					
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	143	Central Asia	3.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				3	142	Asia	Region					
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	144	Sri Lanka	1.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	145	Western Asia	3.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				3	142	Asia	Region					
SG_STT_NSDSFDGVT	Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)	148	Chad	1.0						PARIS21 SDG Survey		Observation value represents the number of countries with national statistical plans with funding from donors	G	Global monitoring data	NUMBER	Number	2019				5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1
