series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	quantile_code	quantile_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	1	World	1			Region						_T	Total (national average) or no breakdown	2016	48.29495					World Development Indicators database, World Bank		CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	1	World	1			Region						Q1	Quintile 1 (poorest)	2016	61.74647					World Development Indicators database, World Bank		CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	_T	Total (national average) or no breakdown	2007	39.53488					National Statistical Institute - Government of Republic of Bulgaria	Multi-Topic Household Survey	CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Q1	Quintile 1 (poorest)	2007	57.58197					National Statistical Institute - Government of Republic of Bulgaria	Multi-Topic Household Survey	CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region						_T	Total (national average) or no breakdown	2016	7.68388					World Development Indicators database, World Bank		CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region						Q1	Quintile 1 (poorest)	2016	8.26114					World Development Indicators database, World Bank		CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Q1	Quintile 1 (poorest)	2016	64.8575					National Statistical Committee of the Republic of Belarus	Household Sample Survey 	CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	_T	Total (national average) or no breakdown	2016	54.08126					National Statistical Committee of the Republic of Belarus	Household Sample Survey 	CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	Q1	Quintile 1 (poorest)	2014	0.0					Institut National de la Statistique - MinistĂ¨re de l'Economie, de la Planification et de l'AmĂŠnagement du Territoire	QuatriĂ¨me EnquĂŞte Camerounaise AuprĂ¨s des MĂŠnages 2014 (ECAM4)	CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	_T	Total (national average) or no breakdown	2014	0.87445					Institut National de la Statistique - MinistĂ¨re de l'Economie, de la Planification et de l'AmĂŠnagement du Territoire	QuatriĂ¨me EnquĂŞte Camerounaise AuprĂ¨s des MĂŠnages 2014 (ECAM4)	CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	13	Central America	4	419	Latin America and the Caribbean	Region						Q1	Quintile 1 (poorest)	2016	58.89402					World Development Indicators database, World Bank		CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	13	Central America	4	419	Latin America and the Caribbean	Region						_T	Total (national average) or no breakdown	2016	38.63216					World Development Indicators database, World Bank		CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	_T	Total (national average) or no breakdown	2007	21.86641					Instituto Nacional de EstatĂ­stica (INE)	Questionario Unificado de Indicadores Basicos de Bem-Estar (QUIBB)	CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	Q1	Quintile 1 (poorest)	2007	25.34949					Instituto Nacional de EstatĂ­stica (INE)	Questionario Unificado de Indicadores Basicos de Bem-Estar (QUIBB)	CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	135	Caucasus and Central Asia	1			Group						_T	Total (national average) or no breakdown	2016	25.78196					World Development Indicators database, World Bank		CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	135	Caucasus and Central Asia	1			Group						Q1	Quintile 1 (poorest)	2016	35.18885					World Development Indicators database, World Bank		CA	Country adjusted data	PT	Percentage	G	Global			
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	14	Eastern Africa	4	202	Sub-Saharan Africa	Region						_T	Total (national average) or no breakdown	2016	20.84679					World Development Indicators database, World Bank		CA	Country adjusted data	PT	Percentage	G	Global			
