series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	1	World	1			Region						Y20T24	20 to 24 years old	F	Female	2019	20.2					DHS, MICS and other national surveys	Based on 91 countries covering 77 per cent of the global population of women aged 20-24 years	E	Estimated data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y20T24	20 to 24 years old	F	Female	2015	16.0					DHS 2015		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y20T24	20 to 24 years old	F	Female	2017	19.0					DHS 2016-17		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Y20T24	20 to 24 years old	F	Female	2019	5.0					MICS 2019		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Y20T24	20 to 24 years old	F	Female	2014	18.5					DHS 2014		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	Y20T24	20 to 24 years old	F	Female	2013	2.5					MICS 2012-13		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	Y20T24	20 to 24 years old	F	Female	2014	31.0					MICS 2014		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	Y20T24	20 to 24 years old	F	Female	2005	18.0					DHS 2005		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1	Y20T24	20 to 24 years old	F	Female	2010	67.9					MICS 2010		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	143	Central Asia	3	142	Asia	Region						Y20T24	20 to 24 years old	F	Female	2019	8.3					DHS, MICS and other national surveys	Based on 4 countries covering 51 per cent of the regional population of women aged 20-24 years	E	Estimated data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1	Y20T24	20 to 24 years old	F	Female	2016	9.8					DHS 2016		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	145	Western Asia	3	142	Asia	Region						Y20T24	20 to 24 years old	F	Female	2019	20.5					DHS, MICS and other national surveys	Based on 8 countries covering 69 per cent of the regional population of women aged 20-24 years	E	Estimated data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1	Y20T24	20 to 24 years old	F	Female	2015	66.9					DHS 2014-15		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	15	Northern Africa	3	2	Africa	Region						Y20T24	20 to 24 years old	F	Female	2019	17.3					DHS, MICS and other national surveys	Based on 5 countries covering 97 per cent of the regional population of women aged 20-24 years	E	Estimated data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	Y20T24	20 to 24 years old	F	Female	2015	23.4					DHS 2015		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1	Y20T24	20 to 24 years old	F	Female	2012	31.6					DHS 2012		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1	Y20T24	20 to 24 years old	F	Female	2015	27.3					MICS 2014-15		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1	Y20T24	20 to 24 years old	F	Female	2014	37.3					DHS 2013-14		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1	Y20T24	20 to 24 years old	F	Female	2011	21.2					MICS 2011		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1	Y20T24	20 to 24 years old	F	Female	2014	26.0					MICS 2014		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	199	Least Developed Countries (LDC)	1			Group						Y20T24	20 to 24 years old	F	Female	2019	38.4					DHS, MICS and other national surveys	Based on 36 countries covering 92 per cent of the regional population of women aged 20-24 years	E	Estimated data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	202	Sub-Saharan Africa	3	2	Africa	Region						Y20T24	20 to 24 years old	F	Female	2019	34.5					DHS, MICS and other national surveys	Based on 34 countries covering 92 per cent of the regional population of women aged 20-24 years	E	Estimated data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1	Y20T24	20 to 24 years old	F	Female	2018	30.6					DHS 2017-18		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1	Y20T24	20 to 24 years old	F	Female	2014	35.9					MICS 2014		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1	Y20T24	20 to 24 years old	F	Female	2012	20.4					ENSANUT 2012		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1	Y20T24	20 to 24 years old	F	Female	2014	25.5					ENS/MICS 2014		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	226	Equatorial Guinea	5	17	Middle Africa	Country	10.46535826	1.565792376	GNQ	1	1	Y20T24	20 to 24 years old	F	Female	2011	29.5					DHS 2011		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1	Y20T24	20 to 24 years old	F	Female	2016	40.3					DHS 2016		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	232	Eritrea	5	14	Eastern Africa	Country	38.11074289	16.12894644	ERI	1	1	Y20T24	20 to 24 years old	F	Female	2010	40.7					EPHS 2010		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	24	Angola	5	17	Middle Africa	Country	17.57817062	-12.33724746	AGO	1	1	Y20T24	20 to 24 years old	F	Female	2016	30.3					DHS 2015-16		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	262	Djibouti	5	14	Eastern Africa	Country	42.18274707	11.56004161	DJI	1	1	Y20T24	20 to 24 years old	F	Female	2012	5.3					PAPFAM 2012		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	266	Gabon	5	17	Middle Africa	Country	11.78727747	-0.60687619	GAB	1	1	Y20T24	20 to 24 years old	F	Female	2012	21.9					DHS 2012		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	268	Georgia	4	145	Western Asia	Country	43.3713615	42.04813028	GEO	1	1	Y20T24	20 to 24 years old	F	Female	2018	13.9					MICS 2018		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	270	Gambia	5	11	Western Africa	Country	-15.39944785	13.45295927	GMB	1	1	Y20T24	20 to 24 years old	F	Female	2018	25.7					MICS 2018		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	275	State of Palestine	4	145	Western Asia	Country	35.25694122	31.94347933	PSE	0	1	Y20T24	20 to 24 years old	F	Female	2014	15.3					MICS 2014		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	288	Ghana	5	11	Western Africa	Country	-1.205623522	7.964825185	GHA	1	1	Y20T24	20 to 24 years old	F	Female	2017	20.5					MHS 2017		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	296	Kiribati	4	57	Micronesia	Country	-157.5643005	1.768837732	KIR	1	1	Y20T24	20 to 24 years old	F	Female	2009	20.3					DHS 2009		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	31	Azerbaijan	4	145	Western Asia	Country	50.01064725	40.39229544	AZE	1	1	Y20T24	20 to 24 years old	F	Female	2011	11.0					DHS 2011		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	320	Guatemala	5	13	Central America	Country	-91.2312746	15.00273719	GTM	1	1	Y20T24	20 to 24 years old	F	Female	2015	29.5					DHS 2015		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	324	Guinea	5	11	Western Africa	Country	-11.28173419	11.00210343	GIN	1	1	Y20T24	20 to 24 years old	F	Female	2018	46.5					DHS 2018		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	328	Guyana	5	5	South America	Country	-58.97322037	4.788012784	GUY	1	1	Y20T24	20 to 24 years old	F	Female	2014	30.2					MICS 2014		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
SP_DYN_MRBF18	Proportion of women aged 20-24 years who were married or in a union before age 18 (%)	332	Haiti	5	29	Caribbean	Country	-72.33640958	18.40426539	HTI	1	1	Y20T24	20 to 24 years old	F	Female	2017	14.9					DHS 2016-17		C	Country data	PER_MARW_20T24Y	% of married women aged 20-24 years	G	Global			
