series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	observationStatus_code	observationStatus_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
FI_FSI_FSLS	Liquid assets to short term liabilities (%)	100	Bulgaria	26.4382369119365					IMF		_X	Data nature not available	PT	Percentage	A	Normal value	G	Global	2008				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
FI_FSI_FSLS	Liquid assets to short term liabilities (%)	100	Bulgaria	26.5504124512208					IMF		_X	Data nature not available	PT	Percentage	A	Normal value	G	Global	2009				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
FI_FSI_FSLS	Liquid assets to short term liabilities (%)	100	Bulgaria	30.0236891133431					IMF		_X	Data nature not available	PT	Percentage	A	Normal value	G	Global	2010				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
FI_FSI_FSLS	Liquid assets to short term liabilities (%)	100	Bulgaria	29.0594728338969					IMF		_X	Data nature not available	PT	Percentage	A	Normal value	G	Global	2011				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
FI_FSI_FSLS	Liquid assets to short term liabilities (%)	100	Bulgaria	29.9550852888117					IMF		_X	Data nature not available	PT	Percentage	A	Normal value	G	Global	2012				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
FI_FSI_FSLS	Liquid assets to short term liabilities (%)	100	Bulgaria	30.5739554162117					IMF		_X	Data nature not available	PT	Percentage	A	Normal value	G	Global	2013				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
FI_FSI_FSLS	Liquid assets to short term liabilities (%)	100	Bulgaria	33.7335202991291					IMF		_X	Data nature not available	PT	Percentage	A	Normal value	G	Global	2014				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
FI_FSI_FSLS	Liquid assets to short term liabilities (%)	100	Bulgaria	40.1784369597318					IMF		_X	Data nature not available	PT	Percentage	A	Normal value	G	Global	2015				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
FI_FSI_FSLS	Liquid assets to short term liabilities (%)	100	Bulgaria	40.9770353167847					IMF		_X	Data nature not available	PT	Percentage	A	Normal value	G	Global	2016				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
FI_FSI_FSLS	Liquid assets to short term liabilities (%)	100	Bulgaria	41.494612811018					IMF		_X	Data nature not available	PT	Percentage	A	Normal value	G	Global	2017				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
