series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	age_code	age_desc	location_code	location_desc	sex_code	sex_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	100	Bulgaria	20.90292					Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.		CA	Country adjusted data	PT	Percentage	Y20T74	20 to 74 years old	_T	All areas	F	Female	G	Global	2002				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	100	Bulgaria	10.90292					Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.		CA	Country adjusted data	PT	Percentage	Y20T74	20 to 74 years old	_T	All areas	M	Male	G	Global	2002				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	100	Bulgaria	18.47208					Calculated by UNSD based on available country data from the 2009-2010 Time Use Survey to apply ICATUS.		CA	Country adjusted data	PT	Percentage	Y20T74	20 to 74 years old	_T	All areas	F	Female	G	Global	2010				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	100	Bulgaria	9.23625					Calculated by UNSD based on available country data from the 2009-2010 Time Use Survey to apply ICATUS.		CA	Country adjusted data	PT	Percentage	Y20T74	20 to 74 years old	_T	All areas	M	Male	G	Global	2010				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	112	Belarus	19.16667					Calculated by UNSD based on available country data from the Time use survey in Belarus to apply ICATUS.		CA	Country adjusted data	PT	Percentage	Y_GE10	10 years old and over	_T	All areas	F	Female	G	Global	2015				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	112	Belarus	9.51375					Calculated by UNSD based on available country data from the Time use survey in Belarus to apply ICATUS.		CA	Country adjusted data	PT	Percentage	Y_GE10	10 years old and over	_T	All areas	M	Male	G	Global	2015				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	116	Cambodia	12.5					Calculated by UNSD based on available country data from the Module in Cambodia Socio-Economic Survey 2003-04 (CSES 2003-04) to apply ICATUS.		CA	Country adjusted data	PT	Percentage	Y15T64	15 to 64 years old	_T	All areas	F	Female	G	Global	2004				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	116	Cambodia	1.25					Calculated by UNSD based on available country data from the Module in Cambodia Socio-Economic Survey 2003-04 (CSES 2003-04) to apply ICATUS.		CA	Country adjusted data	PT	Percentage	Y15T64	15 to 64 years old	_T	All areas	M	Male	G	Global	2004				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	12	Algeria	21.66667					Calculated by UNSD based on available country data from the National Survey on time use of Algerians â ENET 2012 to apply ICATUS.	Travel related to unpaid domestic and care work is not included.	CA	Country adjusted data	PT	Percentage	Y_GE12	12 years old and over	_T	All areas	F	Female	G	Global	2012				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	12	Algeria	3.75					Calculated by UNSD based on available country data from the National Survey on time use of Algerians â ENET 2012 to apply ICATUS.	Travel related to unpaid domestic and care work is not included.	CA	Country adjusted data	PT	Percentage	Y_GE12	12 years old and over	_T	All areas	M	Male	G	Global	2012				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
