series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	age_code	age_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	1	World	78.9					DHS, MICS and other national surveys	Based on 69 countries with a population coverage of 28 per cent	E	Estimated data	PT	Percentage	Y1T14	1 to 14 years old	G	Global	2019				1			Region					
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	104	Myanmar	77.2					DHS	Refers to children aged 2-14 years	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global	2016				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	108	Burundi	89.6					DHS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global	2017				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	112	Belarus	57.0					MICS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global	2019				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	12	Algeria	86.3					MICS	Refers to children aged 2-14 years	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global	2013				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	120	Cameroon	85.0					MICS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global	2014				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	140	Central African Republic	92.0					MICS	Refers to children aged 2-14 years; not included in aggregates as falls outside year range	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global	2010				5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	143	Central Asia	58.4					DHS, MICS and other national surveys	Based on 4 countries with a population coverage of 57 per cent	E	Estimated data	PT	Percentage	Y1T14	1 to 14 years old	G	Global	2019				3	142	Asia	Region					
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	148	Chad	71.1					DHS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global	2015				5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	15	Northern Africa	84.1					DHS, MICS and other national surveys	Based on 4 countries with a population coverage of 85 per cent	E	Estimated data	PT	Percentage	Y1T14	1 to 14 years old	G	Global	2019				3	2	Africa	Region					
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	178	Congo	82.5					MICS 		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global	2015				5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	180	Democratic Republic of the Congo	81.6					DHS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global	2014				5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	188	Costa Rica	45.6					MICS	Refers to children aged 2-14 years; not included in aggregates as falls outside year range	C	Country data	PT	Percentage	Y2T14	2 to 14 years old	G	Global	2011				5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	192	Cuba	36.0					MICS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global	2014				5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	199	Least Developed Countries (LDC)	81.2					DHS, MICS and other national surveys	Based on 26 countries with a population coverage of 59 per cent	E	Estimated data	PT	Percentage	Y1T14	1 to 14 years old	G	Global	2019				1			Group					
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	202	Sub-Saharan Africa	82.9					DHS, MICS and other national surveys	Based on 23 countries with a population coverage of 56 per cent	E	Estimated data	PT	Percentage	Y1T14	1 to 14 years old	G	Global	2019				3	2	Africa	Region					
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	204	Benin	91.2					DHS 		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global	2018				5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	214	Dominican Republic	62.9					MICS		C	Country data	PT	Percentage	Y1T14	1 to 14 years old	G	Global	2014				5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1
