series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	educationLevel_code	educationLevel_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	75.5374695092797					UIS		E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2015				1			Region					
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	84.7776576446516					UIS		E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2015				1			Region					
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	85.2784295790254					UIS		E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2015				1			Region					
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	75.1694942294902					UIS		E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2016				1			Region					
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	84.9148072563925					UIS		E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2016				1			Region					
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	84.9690109329489					UIS		E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2016				1			Region					
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	74.4502113034367					UIS		E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2017				1			Region					
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	84.5957559672967					UIS		E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2017				1			Region					
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	85.0413870440813					UIS		E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2017				1			Region					
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	85.0507912823864					UIS		E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2018				1			Region					
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	84.6221671840658					UIS		E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2018				1			Region					
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	74.4819369380587					UIS		E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2018				1			Region					
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	104	Myanmar	70.85019					UIS		C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2016				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	104	Myanmar	69.96217					UIS		C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2017				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	104	Myanmar	83.24163					UIS		C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2017				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	104	Myanmar	76.95221					UIS		C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2017				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	104	Myanmar	82.0685					UIS		C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2018				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	104	Myanmar	88.52814					UIS		C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2018				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	104	Myanmar	74.76628					UIS		C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2018				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	108	Burundi	71.40661					UIS		C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2016				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	108	Burundi	91.09589					UIS		C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2016				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	108	Burundi	42.81023					UIS		C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2016				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
