series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Age	Location	Sex	Reporting Type
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	398	Kazakhstan	2003.0	24.79167	Float					Calculated by UNSD based on available country data from the Time use survey in Kazakhstan to apply ICATUS.	['']	CA	PERCENT	20-74	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	398	Kazakhstan	2003.0	15.97208	Float					Calculated by UNSD based on available country data from the Time use survey in Kazakhstan to apply ICATUS.	['']	CA	PERCENT	20-74	ALLAREA	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	398	Kazakhstan	2006.0	23.26375	Float					Calculated by UNSD based on available country data from the The time use budget of population to apply ICATUS.	['']	CA	PERCENT	20-74	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	398	Kazakhstan	2006.0	13.88875	Float					Calculated by UNSD based on available country data from the The time use budget of population to apply ICATUS.	['']	CA	PERCENT	20-74	ALLAREA	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	398	Kazakhstan	2012.0	15	Float					Calculated by UNSD based on available country data from the The time use budget of population to apply ICATUS.	['Travel related to unpaid domestic work is not included. Unpaid domestic work might include small amount of time spent on production of goods for own final use.']	CA	PERCENT	10+	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	398	Kazakhstan	2012.0	6.94458	Float					Calculated by UNSD based on available country data from the The time use budget of population to apply ICATUS.	['Travel related to unpaid domestic work is not included. Unpaid domestic work might include small amount of time spent on production of goods for own final use.']	CA	PERCENT	10+	ALLAREA	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	398	Kazakhstan	2018.0	15.06958	Float					The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population	['']	C	PERCENT	10+	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	398	Kazakhstan	2018.0	4.79167	Float					The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population	['']	C	PERCENT	10+	ALLAREA	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	398	Kazakhstan	2018.0	12.5	Float					The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population	['']	C	PERCENT	15-24	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	398	Kazakhstan	2018.0	4.23625	Float					The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population	['']	C	PERCENT	15-24	ALLAREA	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	398	Kazakhstan	2018.0	15.90292	Float					The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population	['']	C	PERCENT	15+	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	398	Kazakhstan	2018.0	5.06958	Float					The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population	['']	C	PERCENT	15+	ALLAREA	MALE	G
