series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type	IHR Capacity
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	50	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR06
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	47	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR05
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	60	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR04
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	100	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	"SPAR03
"
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	20	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	"SPAR02
"
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	27	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR01
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	20	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR07
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	33	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR09
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	40	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR08
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	40	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR13
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	40	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR12
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	20	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR11
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2018.0	40	Float					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR10
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2019.0	NA	String					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR07
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2019.0	NA	String					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR08
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2019.0	NA	String					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR06
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2019.0	NA	String					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR05
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2019.0	NA	String					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR04
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2019.0	NA	String					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	"SPAR03
"
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2019.0	NA	String					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	"SPAR02
"
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2019.0	NA	String					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR01
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2019.0	NA	String					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR13
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2019.0	NA	String					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR12
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2019.0	NA	String					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR11
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2019.0	NA	String					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR10
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	336	Holy See	2019.0	NA	String					Global Health Observatory (GHO), World Health Organisation (WHO)	['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR09
