series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Location	Sex	Age	Reporting Type
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	3.33583	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	URBAN	FEMALE	45-54	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	3.12542	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	URBAN	MALE	25-44	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	2.29417	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	ALLAREA	FEMALE	55-64	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	0.98833	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	ALLAREA	MALE	55-64	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	2.19875	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	URBAN	MALE	45-54	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	2.63292	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	URBAN	FEMALE	55-64	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	1.08167	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	URBAN	MALE	55-64	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	1.14167	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	URBAN	MALE	65+	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	1.14792	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	URBAN	FEMALE	65+	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	1.10333	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	ALLAREA	FEMALE	65+	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	7.40875	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	URBAN	FEMALE	25-44	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	2.09625	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	URBAN	MALE	15+	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	4.66083	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	URBAN	FEMALE	15+	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	3.90583	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	ALLAREA	FEMALE	15-24	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	4.43792	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	ALLAREA	FEMALE	15+	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	1.23833	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	ALLAREA	MALE	15-24	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	7.0075	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	ALLAREA	FEMALE	25-44	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	1.93792	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	ALLAREA	MALE	15+	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	2.07542	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	ALLAREA	MALE	45-54	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	2.81458	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	ALLAREA	FEMALE	45-54	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	2.96458	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	ALLAREA	MALE	25-44	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	4.04292	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	RURAL	FEMALE	15+	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	1.11417	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	RURAL	MALE	15-24	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	6.27875	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	RURAL	FEMALE	25-44	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	1.69125	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	RURAL	MALE	15+	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	600	Paraguay	2016.0	1.95333	Float					Direccion General de Estadistica, Encuestas y Censos (DGEEC) based on Time use survey 2016	['']	C	PERCENT	RURAL	FEMALE	45-54	G
