series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Cities	Reporting Type
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	89.14	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	ANTOFAGASTA_ANTOFAGASTA	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	67.3	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	VALPARAISO_VALPARAISO	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	75.1	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	TARAPACA_ARICA	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	83.2	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	SANTIAGO_SANTIAGO	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	89.7	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	SANTIAGO_PROVIDENCIA	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	79.51	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	MAGALLANES_PUNTAARENAS	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	82.31	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	LOSLAGOS_PUERTOMONTT	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	77.52	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	LOSLAGOS_OSORNO	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2001.0	81.71	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	COQUIMBO_COQUIMBO	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	2009.0	78	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	CANET	G
