series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Sex	Reporting Type	Type of occupation
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	670	Saint Vincent and the Grenadines	2014.0	95.5	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PERCENT	FEMALE	G	NURS
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	670	Saint Vincent and the Grenadines	2014.0	4.5	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PERCENT	MALE	G	NURS
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	670	Saint Vincent and the Grenadines	2015.0	4.2	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PERCENT	MALE	G	NURS
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	670	Saint Vincent and the Grenadines	2015.0	95.8	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PERCENT	FEMALE	G	NURS
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	670	Saint Vincent and the Grenadines	2016.0	95.2	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PERCENT	FEMALE	G	NURS
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	670	Saint Vincent and the Grenadines	2016.0	4.8	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PERCENT	MALE	G	NURS
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	670	Saint Vincent and the Grenadines	2017.0	4.7	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PERCENT	MALE	G	NURS
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	670	Saint Vincent and the Grenadines	2017.0	95.3	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PERCENT	FEMALE	G	NURS
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	670	Saint Vincent and the Grenadines	2018.0	95.4	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PERCENT	FEMALE	G	NURS
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	670	Saint Vincent and the Grenadines	2018.0	4.6	Float					Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	['']	C	PERCENT	MALE	G	NURS
