series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Sex	Reporting Type	Disability status
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2012.0	16	Float					HS - European Health and Social Integration Survey	['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	BOTHSEX	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2012.0	15	Float					HS - European Health and Social Integration Survey	['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	BOTHSEX	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2012.0	28	Float					HS - European Health and Social Integration Survey	['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	BOTHSEX	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2012.0	16	Float					HS - European Health and Social Integration Survey	['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	FEMALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2012.0	29	Float					HS - European Health and Social Integration Survey	['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	FEMALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2012.0	17	Float					HS - European Health and Social Integration Survey	['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	FEMALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2012.0	13	Float					HS - European Health and Social Integration Survey	['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	MALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2012.0	27	Float					HS - European Health and Social Integration Survey	['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	MALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2012.0	15	Float					HS - European Health and Social Integration Survey	['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	MALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2015.0	14.4	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	BOTHSEX	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2015.0	9.9	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	BOTHSEX	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2015.0	10.8	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	MALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2015.0	9.6	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	FEMALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2015.0	12.4	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	FEMALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2015.0	9.9	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	FEMALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2015.0	10.1	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	MALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2015.0	16.4	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	MALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2015.0	10.4	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	BOTHSEX	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2016.0	10.1	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	BOTHSEX	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2016.0	13.3	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	FEMALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2016.0	9.6	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	MALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2016.0	15.7	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	MALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2016.0	10.3	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	MALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2016.0	9.5	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	BOTHSEX	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2016.0	14.5	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	BOTHSEX	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2016.0	9.9	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	FEMALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	250	France	2016.0	9.4	Float					LFS - Employment Survey	['Population coverage: Excluding both institutional population and armed forces and/or conscripts']	C	PERCENT	FEMALE	G	PWD
