series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Age	Location	Sex	Reporting Type
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	616	Poland	2004.0	20.55542	Float					Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.	['']	CA	PERCENT	15-64	ALLAREA	FEMALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	616	Poland	2004.0	10.90292	Float					Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.	['']	CA	PERCENT	15-64	ALLAREA	MALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	616	Poland	2004.0	9.86125	Float					Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.	['']	CA	PERCENT	20-74	ALLAREA	MALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	616	Poland	2004.0	19.79167	Float					Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.	['']	CA	PERCENT	20-74	ALLAREA	FEMALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	616	Poland	2013.0	9.92917	Float					Statistics Poland based on Time Use Survey 	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	15+	ALLAREA	MALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	616	Poland	2013.0	17.5	Float					Statistics Poland based on Time Use Survey 	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	15+	URBAN	FEMALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	616	Poland	2013.0	9.79167	Float					Statistics Poland based on Time Use Survey 	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	45-54	URBAN	MALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	616	Poland	2013.0	7.08333	Float					Statistics Poland based on Time Use Survey 	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	25-44	URBAN	MALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	616	Poland	2013.0	18.40417	Float					Statistics Poland based on Time Use Survey 	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	65+	RURAL	FEMALE	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	616	Poland	2013.0	17.70833	Float					Statistics Poland based on Time Use Survey 	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	65+	ALLAREA	FEMALE	G
