series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Age	Reporting Type
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	454	Malawi	2000.0	8.8	Float						Malawi demographic and health survey 2000. Demographic and Health Surveys. Zomba, Malawi and Calverton, Maryland, USA: National Statistical Office and ORC Macro, 2001 (and additional analysis).		['']	CA	PER_POP_U5	<5Y	G
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	454	Malawi	2002.0	10.0	Float						Malawi 2002 Core Welfare Indicators Questionnaire Survey		['']	CA	PER_POP_U5	<5Y	G
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	454	Malawi	2004.0	10.2	Float						Malawi demographic and health survey 2004. Demographic and Health Surveys. Calverton, Maryland: NSO and ORC Macro, 2005 (and additional analysis).		['']	CA	PER_POP_U5	<5Y	G
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	454	Malawi	2006.0	11.3	Float						Malawi multiple indicator cluster survey 2006, Final report. Lilongwe, Malawi: National Statistical Office and UNICEF, 2008. http://www.childinfo.org/mics3_surveys.html accessed 6 February 2009 (and additional analysis).		['']	CA	PER_POP_U5	<5Y	G
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	454	Malawi	2009.0	4.9	Float						UNICEF and CDC. The national micronutrient survey 2009. Lilongwe, Malawi: Ministry of Health, UNICEF, Irish Aid and CDC, 2011.		['']	CA	PER_POP_U5	<5Y	G
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	454	Malawi	2010.0	9.0	Float						Malawi demographic and health survey 2010. Demographic and Health Surveys. Zomba, Malawi, and Calverton, Maryland, USA: NSO and ICF Macro. 2011 (and additional analysis).		['']	CA	PER_POP_U5	<5Y	G
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	454	Malawi	2014.0	5.1	Float						Malawi MDG endline survey 2014. Final Report. Zomba, Malawi: National Statistical Office, 2014 (and additional analysis)		['']	CA	PER_POP_U5	<5Y	G
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	454	Malawi	2015.0	4.6	Float						Malawi Demographic and Health Survey 2015-16. Zomba, Malawi, and Rockville, Maryland, USA. NSO and ICF (and additional analysis)		['']	CA	PER_POP_U5	<5Y	G
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	454	Malawi	2016.0	1.5	Float						Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period November - December 2016		['6-59 months; Fieldwork conducted in November to December']	CA	PER_POP_U5	<5Y	G
SH_STA_OVRWGT	Proportion of children moderately or severely overweight (%)	454	Malawi	2018.0	2.5	Float						Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period January - February 2018		['6-59 months']	CA	PER_POP_U5	<5Y	G
