goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,timeCoverage,geoInfoUrl,observationStatus_code,observationStatus_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",C020a01,2.a.1,The agriculture orientation index for government expenditures,2020.Q1.G.02,"['means of implementation', 'sustainable agriculture', 'agricultural policy', 'economic policy']",AG_PRD_ORTIND,Agriculture orientation index for government expenditures,1,World,1,,,Region,,,,,,,,A,Normal value,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2001,2017,17,IX,Index,G,Global,0.42224,0.40032,0.36026,0.36592,0.38595,0.41544,0.34564,0.35394,0.30275,0.27924,0.28452,0.2799,0.26342,0.28838,0.31266,0.29461,0.27952,,0.27952,,,Combined Budgetary and Central Government Expenditure,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,,_X: Data nature not available
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",C020a01,2.a.1,The agriculture orientation index for government expenditures,2020.Q1.G.02,"['means of implementation', 'sustainable agriculture', 'agricultural policy', 'economic policy']",AG_PRD_ORTIND,Agriculture orientation index for government expenditures,1,World,1,,,Region,,,,,,,,E,Estimated value,[2018],2018,2018,1,IX,Index,G,Global,,,,,,,,,,,,,,,,,,0.28084,0.28084,,,Combined Budgetary and Central Government Expenditure,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,,_X: Data nature not available
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",C020a01,2.a.1,The agriculture orientation index for government expenditures,2020.Q1.G.02,"['means of implementation', 'sustainable agriculture', 'agricultural policy', 'economic policy']",AG_PRD_ORTIND,Agriculture orientation index for government expenditures,100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,,,A,Normal value,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2001,2018,18,IX,Index,G,Global,0.23482,0.37317,0.41152,0.41045,0.54588,0.75846,0.60189,0.39914,0.44166,0.37603,0.96137,1.08127,0.94579,0.81631,1.31362,0.81598,0.85016,0.97178,0.97178,,,Central Government,FAO Questionnaire. UNSD national account estimates.,,C: Country data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",C020a01,2.a.1,The agriculture orientation index for government expenditures,2020.Q1.G.02,"['means of implementation', 'sustainable agriculture', 'agricultural policy', 'economic policy']",AG_PRD_ORTIND,Agriculture orientation index for government expenditures,104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,,,A,Normal value,"[2012, 2013, 2014, 2015, 2016, 2017]",2012,2017,6,IX,Index,G,Global,,,,,,,,,,,,0.12984,0.13822,0.13693,0.13552,0.11655,0.16213,,0.16213,,,Central Government,Combined IMF and FAO Questionaire. UNSD national account estimates.,,C: Country data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",C020a01,2.a.1,The agriculture orientation index for government expenditures,2020.Q1.G.02,"['means of implementation', 'sustainable agriculture', 'agricultural policy', 'economic policy']",AG_PRD_ORTIND,Agriculture orientation index for government expenditures,104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,,,I,Imputed value (CCSA definition),[2018],2018,2018,1,IX,Index,G,Global,,,,,,,,,,,,,,,,,,0.14404,0.14404,,,Central Government,Combined IMF and FAO Questionaire. UNSD national account estimates.,,C: Country data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",C020a01,2.a.1,The agriculture orientation index for government expenditures,2020.Q1.G.02,"['means of implementation', 'sustainable agriculture', 'agricultural policy', 'economic policy']",AG_PRD_ORTIND,Agriculture orientation index for government expenditures,108,Burundi,5,14,Eastern Africa,Country,29.89080992,-3.366387428,BDI,1,1,,,A,Normal value,"[2010, 2011, 2012, 2013]",2010,2013,4,IX,Index,G,Global,,,,,,,,,,0.0298,0.07846,0.08491,0.07271,,,,,,0.07271,,,Budgetary Central Government,IMF data. UNSD national account estimates,,C: Country data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",C020a01,2.a.1,The agriculture orientation index for government expenditures,2020.Q1.G.02,"['means of implementation', 'sustainable agriculture', 'agricultural policy', 'economic policy']",AG_PRD_ORTIND,Agriculture orientation index for government expenditures,11,Western Africa,4,202,Sub-Saharan Africa,Region,,,,,,,,A,Normal value,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2001,2017,17,IX,Index,G,Global,0.17289,0.22113,0.06813,0.14034,0.17992,0.24539,0.22801,0.22888,0.17386,0.10787,0.13068,0.11724,0.10107,0.18937,0.26074,0.26369,0.20896,,0.20896,,,Combined Budgetary and Central Government Expenditure,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,,_X: Data nature not available
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",C020a01,2.a.1,The agriculture orientation index for government expenditures,2020.Q1.G.02,"['means of implementation', 'sustainable agriculture', 'agricultural policy', 'economic policy']",AG_PRD_ORTIND,Agriculture orientation index for government expenditures,11,Western Africa,4,202,Sub-Saharan Africa,Region,,,,,,,,E,Estimated value,[2018],2018,2018,1,IX,Index,G,Global,,,,,,,,,,,,,,,,,,0.19,0.19,,,Combined Budgetary and Central Government Expenditure,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,,_X: Data nature not available
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",C020a01,2.a.1,The agriculture orientation index for government expenditures,2020.Q1.G.02,"['means of implementation', 'sustainable agriculture', 'agricultural policy', 'economic policy']",AG_PRD_ORTIND,Agriculture orientation index for government expenditures,112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,,,A,Normal value,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2001,2017,17,IX,Index,G,Global,1.11608,1.04338,1.23501,1.66814,1.73193,1.5941,1.37549,1.17393,1.42321,1.23443,1.21861,0.96298,0.95491,0.91555,1.171,1.0629,0.76693,,0.76693,,,Central Government,IMF data. UNSD national account estimates,,C: Country data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",C020a01,2.a.1,The agriculture orientation index for government expenditures,2020.Q1.G.02,"['means of implementation', 'sustainable agriculture', 'agricultural policy', 'economic policy']",AG_PRD_ORTIND,Agriculture orientation index for government expenditures,112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,,,I,Imputed value (CCSA definition),[2018],2018,2018,1,IX,Index,G,Global,,,,,,,,,,,,,,,,,,0.90633,0.90633,,,Central Government,IMF data. UNSD national account estimates,,C: Country data
