goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,timeCoverage,geoInfoUrl,quantile_code,quantile_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2015,value_2016,value_2017,value_2018,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,,,_T,Total (national average) or no breakdown,[2018],2018,2018,1,PT,Percentage,G,Global,,,,0.0,0.0,,,Estimated from individual consumption data. Growth rates are for the period of 2013-2018.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,,,B40,Bottom 40%,[2018],2018,2018,1,PT,Percentage,G,Global,,,,1.0,1.0,,,Estimated from individual consumption data. Growth rates are for the period of 2013-2018.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),144,Sri Lanka,4,34,Southern Asia,Country,80.70489654,7.614693343,LKA,1,1,,,_T,Total (national average) or no breakdown,[2016],2016,2016,1,PT,Percentage,G,Global,,5.0,,,5.0,,,Estimated from individual consumption data. Growth rates are for the period of 2012-2016.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),144,Sri Lanka,4,34,Southern Asia,Country,80.70489654,7.614693343,LKA,1,1,,,B40,Bottom 40%,[2016],2016,2016,1,PT,Percentage,G,Global,,4.0,,,4.0,,,Estimated from individual consumption data. Growth rates are for the period of 2012-2016.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),152,Chile,5,5,South America,Country,-71.23029019,-35.2652885,CHL,1,1,,,B40,Bottom 40%,[2017],2017,2017,1,PT,Percentage,G,Global,,,5.0,,5.0,,,Estimated from individual income data. Growth rates are for the period of 2013-2017.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),152,Chile,5,5,South America,Country,-71.23029019,-35.2652885,CHL,1,1,,,_T,Total (national average) or no breakdown,[2017],2017,2017,1,PT,Percentage,G,Global,,,4.0,,4.0,,,Estimated from individual income data. Growth rates are for the period of 2013-2017.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),156,China,4,30,Eastern Asia,Country,104.1403375,32.30955217,CHN,1,1,,,_T,Total (national average) or no breakdown,[2016],2016,2016,1,PT,Percentage,G,Global,,7.0,,,7.0,,,Estimated from grouped consumption data. Growth rates are for the period of 2013-2016.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),156,China,4,30,Eastern Asia,Country,104.1403375,32.30955217,CHN,1,1,,,B40,Bottom 40%,[2016],2016,2016,1,PT,Percentage,G,Global,,8.0,,,8.0,,,Estimated from grouped consumption data. Growth rates are for the period of 2013-2016.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),170,Colombia,5,5,South America,Country,-73.07446751,3.888209046,COL,1,1,,,_T,Total (national average) or no breakdown,[2018],2018,2018,1,PT,Percentage,G,Global,,,,0.0,0.0,,,Estimated from individual income data. Growth rates are for the period of 2013-2018.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),170,Colombia,5,5,South America,Country,-73.07446751,3.888209046,COL,1,1,,,B40,Bottom 40%,[2018],2018,2018,1,PT,Percentage,G,Global,,,,2.0,2.0,,,Estimated from individual income data. Growth rates are for the period of 2013-2018.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),188,Costa Rica,5,13,Central America,Country,-84.19712782,9.970998683,CRI,1,1,,,_T,Total (national average) or no breakdown,[2018],2018,2018,1,PT,Percentage,G,Global,,,,1.0,1.0,,,Estimated from individual income data. Growth rates are for the period of 2013-2018.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),188,Costa Rica,5,13,Central America,Country,-84.19712782,9.970998683,CRI,1,1,,,B40,Bottom 40%,[2018],2018,2018,1,PT,Percentage,G,Global,,,,1.0,1.0,,,Estimated from individual income data. Growth rates are for the period of 2013-2018.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),191,Croatia,4,39,Southern Europe,Country,17.95874553,45.45172212,HRV,1,1,,,_T,Total (national average) or no breakdown,[2017],2017,2017,1,PT,Percentage,G,Global,,,4.0,,4.0,,,Estimated from individual income data. Growth rates are for the period of 2012-2017.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),191,Croatia,4,39,Southern Europe,Country,17.95874553,45.45172212,HRV,1,1,,,B40,Bottom 40%,[2017],2017,2017,1,PT,Percentage,G,Global,,,5.0,,5.0,,,Estimated from individual income data. Growth rates are for the period of 2012-2017.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),196,Cyprus,4,145,Western Asia,Country,33.22285964,35.05659437,CYP,1,1,,,B40,Bottom 40%,[2017],2017,2017,1,PT,Percentage,G,Global,,,0.0,,0.0,,,Estimated from individual income data. Growth rates are for the period of 2012-2017.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),196,Cyprus,4,145,Western Asia,Country,33.22285964,35.05659437,CYP,1,1,,,_T,Total (national average) or no breakdown,[2017],2017,2017,1,PT,Percentage,G,Global,,,-1.0,,-1.0,,,Estimated from individual income data. Growth rates are for the period of 2012-2017.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),203,Czechia,4,151,Eastern Europe,Country,15.33151382,49.73913871,CZE,1,1,,,_T,Total (national average) or no breakdown,[2017],2017,2017,1,PT,Percentage,G,Global,,,3.0,,3.0,,,Estimated from individual income data. Growth rates are for the period of 2012-2017.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),203,Czechia,4,151,Eastern Europe,Country,15.33151382,49.73913871,CZE,1,1,,,B40,Bottom 40%,[2017],2017,2017,1,PT,Percentage,G,Global,,,4.0,,4.0,,,Estimated from individual income data. Growth rates are for the period of 2012-2017.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),204,Benin,5,11,Western Africa,Country,2.339933594,9.65401646,BEN,1,1,,,_T,Total (national average) or no breakdown,[2015],2015,2015,1,PT,Percentage,G,Global,0.0,,,,0.0,,,Estimated from individual consumption data. Growth rates are for the period of 2011-2015.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),204,Benin,5,11,Western Africa,Country,2.339933594,9.65401646,BEN,1,1,,,B40,Bottom 40%,[2015],2015,2015,1,PT,Percentage,G,Global,-5.0,,,,-5.0,,,Estimated from individual consumption data. Growth rates are for the period of 2011-2015.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),208,Denmark,4,154,Northern Europe,Country,9.326571283,56.03829721,DNK,1,1,,,_T,Total (national average) or no breakdown,[2017],2017,2017,1,PT,Percentage,G,Global,,,2.0,,2.0,,,Estimated from individual income data. Growth rates are for the period of 2012-2017.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),208,Denmark,4,154,Northern Europe,Country,9.326571283,56.03829721,DNK,1,1,,,B40,Bottom 40%,[2017],2017,2017,1,PT,Percentage,G,Global,,,1.0,,1.0,,,Estimated from individual income data. Growth rates are for the period of 2012-2017.,World Bank,,G: Global monitoring data
10,Goal 10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",C100101,10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2020.Q1.G.02,['income distribution'],SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),214,Dominican Republic,5,29,Caribbean,Country,-70.49847576,18.89832088,DOM,1,1,,,B40,Bottom 40%,[2016],2016,2016,1,PT,Percentage,G,Global,,5.0,,,5.0,,,Estimated from individual income data. Growth rates are for the period of 2011-2016.,World Bank,,G: Global monitoring data
