goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,timeCoverage,geoInfoUrl,sex_code,sex_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2020.Q1.G.02,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),1,World,1,,,Region,,,,,,,,F,Female,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",2000,2019,20,PT,Percentage,G,Global,25.14,25.48,25.6,26.08,26.12,26.58,26.64,27.08,27.02,27.09,27.19,27.14,26.64,26.63,26.81,27.07,27.43,27.58,27.78,27.89,27.89,,,,"ILO modelled estimates, November 2019, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",,M: Modeled data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2020.Q1.G.02,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,,,F,Female,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2000,2018,19,PT,Percentage,G,Global,29.82,32.65,33.54,31.3,34.41,33.97,31.61,31.4,32.28,32.15,33.34,36.75,36.39,36.48,36.68,36.51,37.87,39.19,38.57,,38.57,,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2020.Q1.G.02,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,,,F,Female,"[2015, 2017, 2018]",2015,2018,3,PT,Percentage,G,Global,,,,,,,,,,,,,,,,28.36,,35.55,32.34,,32.34,,,[2015]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised // [2017-2018]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,LFS - Labour force survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2020.Q1.G.02,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),108,Burundi,5,14,Eastern Africa,Country,29.89080992,-3.366387428,BDI,1,1,,,F,Female,"[2014, 2017]",2014,2017,2,PT,Percentage,G,Global,,,,,,,,,,,,,,,27.36,,,32.36,,,32.36,,,Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old,HIES - Living standards survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2020.Q1.G.02,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,,,F,Female,"[2009, 2016, 2017, 2018]",2009,2018,4,PT,Percentage,G,Global,,,,,,,,,,46.25,,,,,,,45.99,47.6,47.28,,47.28,,,[2016]: Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old // [2017]: Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old // [2018]: Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Age coverage - maximum age: 74 years old,[2009]: PC - Population census // [2016-2018]: LFS - Labour force survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2020.Q1.G.02,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,,,F,Female,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,,,,,,,,30.88,,,,,,,,30.88,,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,LFS - Labour force survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2020.Q1.G.02,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),12,Algeria,4,15,Northern Africa,Country,2.678164227,28.15940032,DZA,1,1,,,F,Female,"[2001, 2003, 2004, 2013, 2014, 2017]",2001,2017,6,PT,Percentage,G,Global,,5.24,,5.69,4.87,,,,,,,,,10.61,9.89,,,8.36,,,8.36,,,Data reference period: September,LFS - Household Employment Survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2020.Q1.G.02,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,,,F,Female,[2014],2014,2014,1,PT,Percentage,G,Global,,,,,,,,,,,,,,,49.26,,,,,,49.26,,,Repository: ILO-STATISTICS - Micro data processing,HS - Household survey of Cameroon,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2020.Q1.G.02,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),124,Canada,4,21,Northern America,Country,-101.6575058,57.72360191,CAN,1,1,,,F,Female,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2000,2014,15,PT,Percentage,G,Global,35.47,34.95,34.06,35.71,36.49,35.9,36.25,36.92,35.99,37.01,36.76,37.1,36.43,35.78,35.52,,,,,,35.52,,,"[2000-2007]: Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population // [2008]: Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Break in series: Methodology revised // [2009-2014]: Geographical coverage: Total national, excluding some areas",LFS - Labour Force Survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2020.Q1.G.02,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),132,Cabo Verde,5,11,Western Africa,Country,-23.63544151,15.07791834,CPV,1,1,,,F,Female,"[2015, 2017, 2018]",2015,2018,3,PT,Percentage,G,Global,,,,,,,,,,,,,,,,42.3,,43.81,42.52,,42.52,,,[2015]: Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old // [2018]: Employment definition: Including subsistence workers,LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics,,C: Country data
