goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	observationStatus_code	observationStatus_desc	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2015	lowerbound_2015	upperbound_2015	value_2016	lowerbound_2016	upperbound_2016	value_2017	lowerbound_2017	upperbound_2017	latest_value	basePeriod	valueDetails	lowerBoundDetails	upperBoundDetails	footnotes	sources	timeDetails	nature
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2020.Q1.G.02	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	1	World	1			Region								A	Normal value	Y_GE15	15 years old and over	M	Male	[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	7.37321	6.8919	7.85453	7.88913	7.44999	8.32826	8.58038	8.16712	8.99363	8.58038					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017. // [2017]: The observation value represents the 3-year average of the period 2016-2018.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2020.Q1.G.02	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	1	World	1			Region								A	Normal value	_T	All age ranges or no breaks by age	_T	Both sexes	[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	7.91705	7.60516	8.22893	8.15198	7.8861	8.41786	8.66271	8.41342	8.91199	8.66271					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017. // [2017]: The observation value represents the 3-year average of the period 2016-2018.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2020.Q1.G.02	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	1	World	1			Region								A	Normal value	Y_GE15	15 years old and over	F	Female	[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	8.17464	7.70135	8.64792	8.50044	8.09383	8.90705	9.11225	8.72788	9.49662	9.11225					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017. // [2017]: The observation value represents the 3-year average of the period 2016-2018.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2020.Q1.G.02	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			A	Normal value	_T	All age ranges or no breaks by age	_T	Both sexes	[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	1.71406	1.09256	2.33557	2.17119	1.46327	2.8791	2.0584	1.36634	2.75047	2.0584					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017. // [2017]: The observation value represents the 3-year average of the period 2016-2018.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		G: Global monitoring data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2020.Q1.G.02	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			A	Normal value	Y_GE15	15 years old and over	F	Female	[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	1.30157	0.525	2.07813	1.79932	0.86158	2.73705	1.83109	0.8619	2.80027	1.83109					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017. // [2017]: The observation value represents the 3-year average of the period 2016-2018.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		G: Global monitoring data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2020.Q1.G.02	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			A	Normal value	Y_GE15	15 years old and over	M	Male	[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	1.67461	0.61266	2.73656	1.83083	0.65365	3.00801	1.53672	0.43591	2.63752	1.53672					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017. // [2017]: The observation value represents the 3-year average of the period 2016-2018.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		G: Global monitoring data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2020.Q1.G.02	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								A	Normal value	_T	All age ranges or no breaks by age	_T	Both sexes	[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	14.64192	14.21664	15.06719	16.2453	15.81771	16.6729	17.27602	16.84975	17.70229	17.27602					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017. // [2017]: The observation value represents the 3-year average of the period 2016-2018.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2020.Q1.G.02	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								A	Normal value	Y_GE15	15 years old and over	F	Female	[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	25.22022	23.06881	27.37164	27.97483	25.9165	30.03316	30.91481	28.83781	32.99181	30.91481					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017. // [2017]: The observation value represents the 3-year average of the period 2016-2018.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2020.Q1.G.02	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								A	Normal value	Y_GE15	15 years old and over	M	Male	[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	27.25494	24.90312	29.60676	31.18638	28.93523	33.43753	34.29206	32.03472	36.54939	34.29206					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017. // [2017]: The observation value represents the 3-year average of the period 2016-2018.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		E: Estimated data
2	Goal 2	End hunger, achieve food security and improved nutrition and promote sustainable agriculture	2.1	By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round	C020102	2.1.2	Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	2020.Q1.G.02	['food security', 'food shortage', 'hunger']	AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			A	Normal value	Y_GE15	15 years old and over	F	Female	[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	18.5815	16.1304	21.0326	15.32812	13.29903	17.35721	15.15391	13.17418	17.13363	15.15391					[2015]: The observation value represents the 3-year average of the period 2014-2016. // [2016]: The observation value represents the 3-year average of the period 2015-2017. // [2017]: The value(s) for one or more years may have been imputed. The observation value represents the 3-year average of the period 2016-2018.	Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		G: Global monitoring data
