series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	sex_code	sex_desc	activity_code	activity_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
SL_ISV_IFEM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	1			Region								F	Female	_T	No breakdown	2016	58.1193					ILO estimates based on processing of country microdata sets		E	Estimated data	PT	Percentage	G	Global			
SL_ISV_IFEM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	1			Region								_T	Both sexes	ISIC4_A	Agriculture, forestry and fishing	2016	93.6033					ILO estimates based on processing of country microdata sets		E	Estimated data	PT	Percentage	G	Global			
SL_ISV_IFEM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	1			Region								F	Female	ISIC4_BTU	Non-agriculture	2016	46.3522					ILO estimates based on processing of country microdata sets		E	Estimated data	PT	Percentage	G	Global			
SL_ISV_IFEM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	1			Region								M	Male	_T	No breakdown	2016	63.037					ILO estimates based on processing of country microdata sets		E	Estimated data	PT	Percentage	G	Global			
SL_ISV_IFEM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	1			Region								_T	Both sexes	_T	No breakdown	2016	61.1614					ILO estimates based on processing of country microdata sets		E	Estimated data	PT	Percentage	G	Global			
SL_ISV_IFEM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	1			Region								M	Male	ISIC4_A	Agriculture, forestry and fishing	2016	93.2157					ILO estimates based on processing of country microdata sets		E	Estimated data	PT	Percentage	G	Global			
SL_ISV_IFEM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	1			Region								M	Male	ISIC4_BTU	Non-agriculture	2016	53.1299					ILO estimates based on processing of country microdata sets		E	Estimated data	PT	Percentage	G	Global			
SL_ISV_IFEM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	1			Region								_T	Both sexes	ISIC4_BTU	Non-agriculture	2016	50.5316					ILO estimates based on processing of country microdata sets		E	Estimated data	PT	Percentage	G	Global			
SL_ISV_IFEM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	1			Region								F	Female	ISIC4_A	Agriculture, forestry and fishing	2016	94.5476					ILO estimates based on processing of country microdata sets		E	Estimated data	PT	Percentage	G	Global			
SL_ISV_IFEM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			_T	Both sexes	_T	No breakdown	2018	79.48953					LFS - Labour force survey	Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers	C	Country data	PT	Percentage	G	Global			
