series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	sex_code	sex_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			_T	Both sexes	2014	3.6					 Institut National de Statistique: Base de donnĂŠes de l'EnquĂŞte sur les conditions de vie des mĂŠnages de 2013/2014: Module Gouvernance, paix et sĂŠcuritĂŠ		_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			_T	Both sexes	2016	1.2					UN-CTS		_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			M	Male	2016	1.6					UN-CTS		_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			F	Female	2016	0.9					UN-CTS		_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			_T	Both sexes	2014	0.1					UN-CTS	Percentage of households who have been victim of bribery from a public functionary or state enterprise. Attempts are not included.	_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			_T	Both sexes	2010	11.2					UN-CTS		_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			M	Male	2010	12.9					UN-CTS		_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			F	Female	2010	9.6					UN-CTS		_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1			_T	Both sexes	2009	0.5					UN-CTS		_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			_T	Both sexes	2018	0.1					Ministry of Interior - Service Statistique MinistĂŠriel de la SĂŠcuritĂŠ IntĂŠrieure (SSMSI)	Percentage of persons who were offered or expected a bribe or gift in the professional or private sphere involving a person working in a public administration or establishment â Annual average 2018-2019. Numbers are reported in relation to the total population aged 14 or over.	_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	268	Georgia	4	145	Western Asia	Country	43.3713615	42.04813028	GEO	1	1			_T	Both sexes	2010	0.2					UN-CTS		_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	275	State of Palestine	4	145	Western Asia	Country	35.25694122	31.94347933	PSE	0	1			_T	Both sexes	2018	2.1					Palestinian Central Bureau of Statistics,Perceptions Survey of Individuals on the Prevalence of Corruption in Palestine, 2013; PCBS_Database of Rule of Law and Access to Justice Survey 2018		_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1			_T	Both sexes	2016	2.4					INDEC, Encuesta Nacional de VictimizaciĂłn 2017  en Argentina		_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1			M	Male	2016	3.3					INDEC, Encuesta Nacional de VictimizaciĂłn 2017  en Argentina		_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1			F	Female	2016	1.6					INDEC, Encuesta Nacional de VictimizaciĂłn 2017  en Argentina		_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	328	Guyana	5	5	South America	Country	-58.97322037	4.788012784	GUY	1	1			_T	Both sexes	2018	2.5					UN-CTS		_X	Data nature not available	PT	Percentage	G	Global			
IU_COR_BRIB	Prevalence rate of bribery, by sex (%)	368	Iraq	4	145	Western Asia	Country	43.76606267	33.05013795	IRQ	1	1			_T	Both sexes	2011	11.6					UNODC and Central Statistical Office, Kurdistan Region Statistical Office and Commission of Integrity (2012) Corruption and integrity challenges in the public sector of Iraq		_X	Data nature not available	PT	Percentage	G	Global			
