series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	observationStatus_code	observationStatus_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	1	World	1			Region								A	Normal value	2017	1.49676					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	PT	Percentage	G	Global			
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	1	World	1			Region								E	Estimated value	2018	1.48183					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	PT	Percentage	G	Global			
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			A	Normal value	2018	3.27613					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	PT	Percentage	G	Global			
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			A	Normal value	2017	3.78335					Combined IMF and FAO Questionaire. UNSD national account estimates.	Central Government	C	Country data	PT	Percentage	G	Global			
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			I	Imputed value (CCSA definition)	2018	3.78335					Combined IMF and FAO Questionaire. UNSD national account estimates.	Central Government	C	Country data	PT	Percentage	G	Global			
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			A	Normal value	2013	2.78972					IMF data. UNSD national account estimates	Budgetary Central Government	C	Country data	PT	Percentage	G	Global			
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								A	Normal value	2017	4.33183					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	PT	Percentage	G	Global			
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								E	Estimated value	2018	3.95859					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	PT	Percentage	G	Global			
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			A	Normal value	2017	5.80249					IMF data. UNSD national account estimates	Central Government	C	Country data	PT	Percentage	G	Global			
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			I	Imputed value (CCSA definition)	2018	5.80249					IMF data. UNSD national account estimates	Central Government	C	Country data	PT	Percentage	G	Global			
