series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	cities_code	cities_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			C02	Varna	2009	100.0					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			C01	Sofia	2011	100.0					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			C01	Minsk	2007	100.0					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			_T	All areas or breakdown by cities not available	2012	100.0					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	N	Non-relevant	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			C01	Algiers	2009	80.0					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			C01	Yaounde	2009	43.6					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			C02	Toronto	2015	98.97291					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			C01	Montreal	2015	97.97291					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			C01	Praia	2012	70.57					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			C01	Dehiwala-Mount Lavinia	2007	81.0					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			C02	Moratuwa	2007	77.3					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			C01	Antofagasta, Antofagasta	2001	89.14					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			C09	Valparaiso, Valparaiso	2001	67.3					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			VALPARAISO_VALPARAISO	Valparaiso, Valparaiso	2001	67.3					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			C08	Tarapaca, Arica	2001	75.1					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			TARAPACA_ARICA	Tarapaca, Arica	2001	75.1					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			C07	Santiago, Santiago	2001	83.2					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			C06	Santiago, Providencia	2001	89.7					United Nations Human Settlements Programme (UN-Habitat)	Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.	C	Country data	PT	Percentage	G	Global			
