series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	observationStatus_code	observationStatus_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			A	Normal value	2018	7.80156177334957					IMF		_X	Data nature not available	PT	Percentage	G	Global			
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			A	Normal value	2017	14.1900852248363					IMF		_X	Data nature not available	PT	Percentage	G	Global			
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			A	Normal value	2018	5.0102862381755					IMF		_X	Data nature not available	PT	Percentage	G	Global			
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			A	Normal value	2018	1.9896209372896					IMF		_X	Data nature not available	PT	Percentage	G	Global			
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			A	Normal value	2018	12.6974012595366					IMF		_X	Data nature not available	PT	Percentage	G	Global			
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			A	Normal value	2018	12.392718976239					IMF		_X	Data nature not available	PT	Percentage	G	Global			
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			A	Normal value	2017	0.449461039885323					IMF		_X	Data nature not available	PT	Percentage	G	Global			
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			A	Normal value	2017	22.9381610960045					IMF		_X	Data nature not available	PT	Percentage	G	Global			
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			A	Normal value	2018	3.42041976161883					IMF		_X	Data nature not available	PT	Percentage	G	Global			
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			A	Normal value	2018	28.6262465914056					IMF		_X	Data nature not available	PT	Percentage	G	Global			
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			A	Normal value	2018	1.87201462093851					IMF		_X	Data nature not available	PT	Percentage	G	Global			
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			A	Normal value	2018	1.83294883223349					IMF		_X	Data nature not available	PT	Percentage	G	Global			
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			A	Normal value	2018	4.40037547403798					IMF		_X	Data nature not available	PT	Percentage	G	Global			
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1			A	Normal value	2016	21.675010733536					IMF		_X	Data nature not available	PT	Percentage	G	Global			
FI_FSI_FSANL	Non-performing loans to total gross loans (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1			A	Normal value	2019	2.39602725613429					IMF		_X	Data nature not available	PT	Percentage	G	Global			
