series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	typeOfSpeed_code	typeOfSpeed_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			_T	Any speed	2018	1903946.0					Communications Regulation Commission	Information provided by 92,2% of all ISPs. Dedicated access lines are included.	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			IS_GE10M	10 mbps and over	2018	1860929.0					Communications Regulation Commission	Dedicated access lines are included.	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			IS_2MT10M	Between 2 mbps and 10 mbps	2018	41955.0					Communications Regulation Commission	Dedicated access lines are included.	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			IS_256KT2M	Between 256 kbps and 2 mbps	2018	1062.0					Communications Regulation Commission	Dedicated access lines are included.	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			_T	Any speed	2018	129050.0					Ministry of Transport and Communications		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			IS_GE10M	10 mbps and over	2018	60983.0					Ministry of Transport and Communications		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			IS_2MT10M	Between 2 mbps and 10 mbps	2018	42173.0					Ministry of Transport and Communications		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			IS_256KT2M	Between 256 kbps and 2 mbps	2018	25894.0					Ministry of Transport and Communications		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			_T	Any speed	2018	3935.0					AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			IS_256KT2M	Between 256 kbps and 2 mbps	2018	3143.0					AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			IS_2MT10M	Between 2 mbps and 10 mbps	2018	674.0					AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			IS_GE10M	10 mbps and over	2018	88.0					AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			_T	Any speed	2018	3201519.0					Ministry of Informatization and communication of the Republic of Belarus		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			IS_256KT2M	Between 256 kbps and 2 mbps	2018	96070.0					Ministry of Informatization and communication of the Republic of Belarus		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			IS_2MT10M	Between 2 mbps and 10 mbps	2018	1253198.0					Ministry of Informatization and communication of the Republic of Belarus		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			IS_GE10M	10 mbps and over	2018	1852251.0					Ministry of Informatization and communication of the Republic of Belarus		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			_T	Any speed	2018	166200.0					Telecommunication Regulator of Cambodia	Slowly increase as focus is on mobile internet	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			IS_2MT10M	Between 2 mbps and 10 mbps	2018	24378.0					Telecommunication Regulator of Cambodia		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			IS_GE10M	10 mbps and over	2018	141615.0					Telecommunication Regulator of Cambodia	More fixed internet users shifted from DSL to FTTH	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			IS_256KT2M	Between 256 kbps and 2 mbps	2018	207.0					Telecommunication Regulator of Cambodia		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			_T	Any speed	2018	3067022.0					MinistĂ¨re de la Poste, des TĂŠlĂŠcommunications, des Technologies et du NumĂŠrique	"[""L'ĂŠcart est dĂť Ă  l'ajout des donnĂŠes d'autres abonnĂŠes de certaines technologies pris en charge dans la dĂŠfinition de l'UIT : FTTX + LS + WiMAX,  Large bande Satellite, et d'autres fournisseurs dâaccĂ¨s internet .   ""]"	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			IS_256KT2M	Between 256 kbps and 2 mbps	2018	7999.0					MinistĂ¨re de la Poste, des TĂŠlĂŠcommunications, des Technologies et du NumĂŠrique	"[""Migration de abonnĂŠes de l'Offre  internet 1 Mb vers l'offre internet 2 Mb""]"	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			IS_2MT10M	Between 2 mbps and 10 mbps	2018	2194170.0					MinistĂ¨re de la Poste, des TĂŠlĂŠcommunications, des Technologies et du NumĂŠrique	"[""Migration de abonnĂŠes de l'Offre  internet 1 Mb vers l'offre internet 2 Mb""]"	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			IS_GE10M	10 mbps and over	2018	864853.0					MinistĂ¨re de la Poste, des TĂŠlĂŠcommunications, des Technologies et du NumĂŠrique		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			_T	Any speed	2018	17987.0					Agence de RĂŠgulation des TĂŠlĂŠcommunications  Cameroun		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			IS_256KT2M	Between 256 kbps and 2 mbps	2018	17987.0					Agence de RĂŠgulation des TĂŠlĂŠcommunications  Cameroun		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			_T	Any speed	2018	14445606.0					Canadian Radio-television and Telecommunications Comission	Data is a projection based upon data currently collected.	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			IS_2MT10M	Between 2 mbps and 10 mbps	2018	1795699.0					Canadian Radio-television and Telecommunications Comission	1.5 Mbps to under 10 Mbps. 	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			IS_256KT2M	Between 256 kbps and 2 mbps	2018	158193.0					Canadian Radio-television and Telecommunications Comission	256 kbps to under 1.5 Mbps. Preliminary projection based upon residential speed data only. Residential and business subscriptions.	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			IS_GE10M	10 mbps and over	2018	12382659.0					Canadian Radio-television and Telecommunications Comission	Preliminary projection based upon residential speed data only. Residential and business subscriptions	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			_T	Any speed	2018	15657.0					AgĂŞncia Reguladora Multissetorial da Economia - ARME		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			IS_GE10M	10 mbps and over	2018	15657.0					AgĂŞncia Reguladora Multissetorial da Economia - ARME		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			IS_256KT2M	Between 256 kbps and 2 mbps	2014	6939.0					Agencia Nacional das ComunicaĂ§oes		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			IS_2MT10M	Between 2 mbps and 10 mbps	2016	4199.0					AgĂŞncia Reguladora Multissetorial da Economia - ARME		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1			_T	Any speed	2017	31232.0					Utility Regulation and Competition Office 		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1			IS_2MT10M	Between 2 mbps and 10 mbps	2016	6525.0					Utility Regulation and Competition Office 	This figure reflects between 2 Mbit/s and 8 Mbit/s.	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1			IS_256KT2M	Between 256 kbps and 2 mbps	2016	3354.0					Utility Regulation and Competition Office 		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1			IS_GE10M	10 mbps and over	2016	6509.0					ITU		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			IS_256KT2M	Between 256 kbps and 2 mbps	2018	413.0					AUTORITE DE REGULATION DES COMMUNICATIONS ELECTRONIQUES ET DE LA POSTE	"[""client 256 kbit/s Ă  1 Mbit/s. N.B: Un FAI est en cessation d'activitĂŠs""]"	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			_T	Any speed	2018	608.0					AUTORITE DE REGULATION DES COMMUNICATIONS ELECTRONIQUES ET DE LA POSTE	"[""Nombre de clients Internet par statellite (Wimax). Les donnĂŠes de l'Internet large bande fixe ne sont pas disponibles.""]"	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			IS_2MT10M	Between 2 mbps and 10 mbps	2018	60.0					AUTORITE DE REGULATION DES COMMUNICATIONS ELECTRONIQUES ET DE LA POSTE	"[""exclusivement clients ayant une souscription supĂŠrieure Ă  1 Mbit/s .Ce chiffre inclut les souscriptions de 2 Mbit/s Ă  plus de 10 Mbits. N.B: un FAI est en cessation d'activitĂŠs""]"	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			IS_GE10M	10 mbps and over	2018	0.0					AUTORITE DE REGULATION DES COMMUNICATIONS ELECTRONIQUES ET DE LA POSTE		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			_T	Any speed	2018	1544313.0					Telecommunications Regulatory Commission of Sri Lanka		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			IS_GE10M	10 mbps and over	2018	342836.0					Telecommunications Regulatory Commission of Sri Lanka		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			IS_256KT2M	Between 256 kbps and 2 mbps	2017	209929.0					Telecommunications Regulatory Commission of Sri Lanka	Telecommunications Regulatory Commission of Sri Lanka	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			IS_2MT10M	Between 2 mbps and 10 mbps	2018	859012.0					Telecommunications Regulatory Commission of Sri Lanka		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			_T	Any speed	2018	334.0					ARCEP Tchad		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			IS_GE10M	10 mbps and over	2013	0.0					Office Tchadien de RĂŠgulation des TĂŠlĂŠcommunications	NA	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			IS_2MT10M	Between 2 mbps and 10 mbps	2013	0.0					Office Tchadien de RĂŠgulation des TĂŠlĂŠcommunications	NA	_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			IS_256KT2M	Between 256 kbps and 2 mbps	2018	334.0					ARCEP Tchad		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			_T	Any speed	2018	3250678.0					SubsecretarĂ­a de Telecomunicaciones		_X	Data nature not available	NUMBER	Number	G	Global			
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			IS_2MT10M	Between 2 mbps and 10 mbps	2018	604339.0					SubsecretarĂ­a de Telecomunicaciones		_X	Data nature not available	NUMBER	Number	G	Global			
