series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	substanceUseDisorders_code	substanceUseDisorders_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
SH_SUD_TREAT	Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			SUD_OPIOIDS	Opioids	2016	28.13529					Annual Report Questionnaire		_X	Data nature not available	PT	Percentage	G	Global			
SH_SUD_TREAT	Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			SUD_ATS	Amphetamine-type stimulants (ATS)	2016	41.31579					Annual Report Questionnaire		_X	Data nature not available	PT	Percentage	G	Global			
SH_SUD_TREAT	Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			_T	Total	2016	30.04211					Annual Report Questionnaire		_X	Data nature not available	PT	Percentage	G	Global			
SH_SUD_TREAT	Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			SUD_OPIOIDS	Opioids	2017	4.93556					Government	   Sri Lanka-source of DUD data: country estimates provided are based on previous estimation of heroin use population in the country.	_X	Data nature not available	PT	Percentage	G	Global			
SH_SUD_TREAT	Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			SUD_COCAINE	Cocaine	2017	26.62925					Annual Report Questionnaire		_X	Data nature not available	PT	Percentage	G	Global			
SH_SUD_TREAT	Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			_T	Total	2017	3.60707					Annual Report Questionnaire		_X	Data nature not available	PT	Percentage	G	Global			
SH_SUD_TREAT	Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			_T	Total	2015	61.33649					Annual Report Questionnaire		_X	Data nature not available	PT	Percentage	G	Global			
SH_SUD_TREAT	Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders (%)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			SUD_OPIOIDS	Opioids	2017	31.2					Annual Report Questionnaire/Government		_X	Data nature not available	PT	Percentage	G	Global			
SH_SUD_TREAT	Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders (%)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			SUD_ATS	Amphetamine-type stimulants (ATS)	2017	38.63636					Annual Report Questionnaire/Government		_X	Data nature not available	PT	Percentage	G	Global			
SH_SUD_TREAT	Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			_T	Total	2017	9.98954					Annual Report Questionnaire		_X	Data nature not available	PT	Percentage	G	Global			
