series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	sex_code	sex_desc	disabilityStatus_code	disabilityStatus_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			_T	Both sexes	_T	No breakdown by disability	2016	7.6					LFS - Labour Force Survey	Population coverage: Excluding institutional population | Age coverage - maximum age: 74 years old	C	Country data	PT	Percentage	G	Global			
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			_T	Both sexes	PWD	Persons without disability	2016	7.5					LFS - Labour Force Survey	Population coverage: Excluding institutional population | Age coverage - maximum age: 74 years old	C	Country data	PT	Percentage	G	Global			
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			M	Male	_T	No breakdown by disability	2016	8.1					LFS - Labour Force Survey	Population coverage: Excluding institutional population | Age coverage - maximum age: 74 years old	C	Country data	PT	Percentage	G	Global			
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			_T	Both sexes	PD	Persons with disability	2016	12.3					LFS - Labour Force Survey	Population coverage: Excluding institutional population | Age coverage - maximum age: 74 years old	C	Country data	PT	Percentage	G	Global			
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			M	Male	PWD	Persons without disability	2016	8.0					LFS - Labour Force Survey	Population coverage: Excluding institutional population | Age coverage - maximum age: 74 years old	C	Country data	PT	Percentage	G	Global			
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			F	Female	_T	No breakdown by disability	2016	7.0					LFS - Labour Force Survey	Population coverage: Excluding institutional population | Age coverage - maximum age: 74 years old	C	Country data	PT	Percentage	G	Global			
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			F	Female	PWD	Persons without disability	2016	6.9					LFS - Labour Force Survey	Population coverage: Excluding institutional population | Age coverage - maximum age: 74 years old	C	Country data	PT	Percentage	G	Global			
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			M	Male	PD	Persons with disability	2015	15.3					LFS - Labour Force Survey	Population coverage: Excluding institutional population | Age coverage - maximum age: 74 years old	C	Country data	PT	Percentage	G	Global			
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			F	Female	PD	Persons with disability	2015	16.3					LFS - Labour Force Survey	Population coverage: Excluding institutional population | Age coverage - maximum age: 74 years old	C	Country data	PT	Percentage	G	Global			
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			M	Male	PD	Persons with disability	2015	3.41					LFS - Labour force survey	Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers	C	Country data	PT	Percentage	G	Global			
