series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	observationStatus_code	observationStatus_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
GR_G14_GDP	Total government revenue (budgetary central government) as a proportion of GDP (%)	1	World	1			Region								A	Normal value	2018	31.0793410013484					IMF		_X	Data nature not available	PT	Percentage	G	Global			
GR_G14_GDP	Total government revenue (budgetary central government) as a proportion of GDP (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			A	Normal value	2018	38.924353898781					IMF		_X	Data nature not available	PT	Percentage	G	Global			
GR_G14_GDP	Total government revenue (budgetary central government) as a proportion of GDP (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			A	Normal value	2017	16.5063095591945					IMF		_X	Data nature not available	PT	Percentage	G	Global			
GR_G14_GDP	Total government revenue (budgetary central government) as a proportion of GDP (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			A	Normal value	2013	25.1738864469557					IMF		_X	Data nature not available	PT	Percentage	G	Global			
GR_G14_GDP	Total government revenue (budgetary central government) as a proportion of GDP (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								A	Normal value	2018	20.4437186148872					IMF		_X	Data nature not available	PT	Percentage	G	Global			
GR_G14_GDP	Total government revenue (budgetary central government) as a proportion of GDP (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			A	Normal value	2018	44.9548158712082					IMF		_X	Data nature not available	PT	Percentage	G	Global			
GR_G14_GDP	Total government revenue (budgetary central government) as a proportion of GDP (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			A	Normal value	2018	22.1995467246578					IMF		_X	Data nature not available	PT	Percentage	G	Global			
GR_G14_GDP	Total government revenue (budgetary central government) as a proportion of GDP (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			A	Normal value	2011	40.4241551854137					IMF		_X	Data nature not available	PT	Percentage	G	Global			
GR_G14_GDP	Total government revenue (budgetary central government) as a proportion of GDP (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			A	Normal value	2018	16.0547805611521					IMF		_X	Data nature not available	PT	Percentage	G	Global			
GR_G14_GDP	Total government revenue (budgetary central government) as a proportion of GDP (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			A	Normal value	2018	40.7922089568516					IMF		_X	Data nature not available	PT	Percentage	G	Global			
GR_G14_GDP	Total government revenue (budgetary central government) as a proportion of GDP (%)	13	Central America	4	419	Latin America and the Caribbean	Region								A	Normal value	2018	18.1411161900446					IMF		_X	Data nature not available	PT	Percentage	G	Global			
